create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.method,parameters.numeric_columns,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-18 03:31:25.341442,slurm_normal,,main_w1_handler1,2458154,10616363,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",85440964,tabular,4885936.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21585734,"""kendall""","[""5"", ""6"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]",,25471531,error,toolshed.g2.bx.psu.edu/repos/devteam/correlation/cor2/1.0.0,1.0.0,,2015-10-19 15:32:06.936345,22469,129641.594903
2015-10-18 18:26:13.632405,slurm_normal,,main_w1_handler2,2458154,10631206,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",85440964,tabular,4892143.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21585734,"""kendall""","[""5"", ""6"", ""7"", ""9"", ""10"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24""]",,25471531,error,toolshed.g2.bx.psu.edu/repos/devteam/correlation/cor2/1.0.0,1.0.0,,2015-10-20 06:26:40.981200,22469,129627.34879500001
