create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.termini,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-12-08 23:25:43.986611,slurm_normal,,main_w3_handler0,2874263,14524159,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",32,tabular,8706154.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27551719}]","""yes""",,33308389,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2016-12-10 11:26:02.097195,91157,129618.11058400001
2014-02-11 03:36:18.956307,slurm_single,,main_w2_handler1,1801268,6496962,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",28,tabular,527918,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""",14508963,,"""yes""",,12274800,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2014-02-13 03:46:28.749123,39483,173409.792816
