create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.file_list|__identifier__,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-26 14:32:32.804053,slurm_normal,,2065748253,fastq.gz,main_w4_handler0,3267070,16936586,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11005914.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31425714}]",file_list,"""fastqsanger.gz""",,39306279.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-09-28 02:34:01.646998,108998.0,129688.84294500001
2017-09-26 14:32:31.467236,slurm_normal,,3768972873,fastq.gz,main_w3_handler0,3267070,16936583,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11005912.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31425690}]",file_list,"""fastqsanger.gz""",,39306279.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-09-28 02:34:04.188844,108998.0,129692.721608
2017-09-26 14:32:32.147797,slurm_normal,,3854901982,fastq.gz,main_w3_handler1,3267070,16936584,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11005911.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31425699}]",file_list,"""fastqsanger.gz""",,39306279.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-09-28 02:33:32.328061,108998.0,129660.18026400001
2017-10-04 00:00:20.924999,slurm_normal,,1333405756,fastqillumina,main_w4_handler1,3008854,17018789,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11072640.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31549391}]",file_list,"""fastqsanger""",,41030914.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-05 12:01:59.546035,100838.0,129698.62103600001
2017-10-04 00:00:28.907916,slurm_normal,,199615256,fasta,main_w4_handler1,3008854,17018794,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11072641.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31549404}]",file_list,"""fastqsanger""",,41030914.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-05 12:01:58.345590,100838.0,129689.43767400002
2017-10-04 00:00:28.081948,slurm_normal,,842451281,fastqsanger,main_w3_handler1,3008854,17018793,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11086608.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31549402}]",file_list,"""fastqsanger""",,41030914.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-07 00:02:37.399874,100838.0,259329.31792600002
2017-10-12 09:35:04.034781,slurm_normal,,109525328,gtf,main_w3_handler1,3276496,17085206,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11141387.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,2,"[{'src': 'hda', 'id': 31660709}]",file_list,"""fastqsanger.gz""",,41241160.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-13 21:50:30.891252,33819.0,130526.856471
2017-10-12 09:52:03.302559,slurm_normal,,109525328,gtf,main_w4_handler1,3276496,17085325,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11141498.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,2,"[{'src': 'hda', 'id': 31660709}]",file_list,"""fastqsanger.gz""",,41241160.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-13 22:04:32.849380,33819.0,130349.54682100001
2017-10-16 09:43:24.963457,slurm_normal,,1859,txt,main_w3_handler1,3262757,17110206,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11167318.roundup,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31702071}]",file_list,"""fastqsanger.gz""",,40755295.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-17 21:43:32.829697,68742.0,129607.86624
2018-02-28 08:25:20.076451,slurm_normal,,1234087776,fastqsanger,main_w3_handler0,3445817,18545056,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12678014,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 34111267}]",file_list,"""fastqsanger""",,44218447.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-03-04 04:20:16.425739,118231.0,330896.349288
2017-10-19 09:21:16.361129,slurm_normal,,7017031734,fastq.bz2,main_w4_handler0,3291974,17143087,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11200723,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31753423}]",file_list,"""fastqsanger""",,40423254.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-20 21:21:48.673933,96446.0,129632.312804
2017-12-28 00:42:05.029346,slurm_normal,,4339782429,fastq,main_w4_handler1,3324283,17906127,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11980813,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,2,"[{'src': 'hda', 'id': 32982520}]",file_list,"""fastqsanger""",,41978169.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-12-29 12:42:22.681685,116213.0,129617.65233900001
2017-12-28 00:43:03.901960,slurm_normal,,4339782429,fastq,main_w3_handler1,3324283,17906128,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11980815,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,2,"[{'src': 'hda', 'id': 32982520}]",file_list,"""fastqsanger""",,41978169.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-12-29 12:43:22.689834,116213.0,129618.787874
2017-12-27 09:46:08.381280,slurm_normal,,20310686505,fastq.gz,main_w4_handler1,3262729,17902767,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11977273,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 33094791}]",file_list,"""fastqsanger.gz""",,42872512.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-12-28 21:46:15.792938,112069.0,129607.41165800001
2017-12-27 09:46:08.216398,slurm_normal,,20310686505,fastq.gz,main_w4_handler0,3262729,17902766,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11977274,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 33094790}]",file_list,"""fastqsanger.gz""",,42872512.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-12-28 21:46:16.757873,112069.0,129608.541475
2017-10-20 16:05:02.589968,slurm_normal,,4322454398,fastqsanger,main_w4_handler0,3067608,17156182,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11214624,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31777563}]",file_list,"""fastqsanger""",,41425616.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-22 04:05:51.816447,76714.0,129649.226479
2017-10-19 09:21:16.144015,slurm_normal,,7662128101,fastq.bz2,main_w4_handler1,3291974,17143086,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11200728,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,2,"[{'src': 'hda', 'id': 31753411}]",file_list,"""fastqsanger""",,40423254.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2017-10-20 21:21:43.496155,96446.0,129627.35214
2018-03-05 06:25:34.506785,slurm_normal,,52784190,bed,main_w3_handler1,3451730,18606068,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12701348,slurm,,corral-repl,,,both,false,,,,,,,false,true,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,2,"[{'src': 'hda', 'id': 34209259}]",file_list,"""fastqsanger.gz""",,44333487.0,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.1.3,2.8.1.3,,2018-03-06 18:26:05.099928,123270.0,129630.593143
