bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
501369417,bam,2016-10-16 14:19:56.389040,slurm_multi,,main_w3_handler2,2782063,14092195,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,8308293,slurm,,corral-repl,,0,no,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d76b7aba42f091be'}]","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",2,2451960000,"""300""","""png""","""""",0,,galGal4,cached,,33645601,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-18 02:50:29.178722,19390,131432.789682
697543744,bam,2016-10-07 20:09:26.396746,slurm_multi,,main_w4_handler2,2847027,14032707,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",36969050.0,twobit,8250263,slurm,,corral-repl,,0,no,0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5accc66cb37a00920'}]","""/galaxy-repl/localdata/chrom/dm6.len""","""dm6""",3,121400000,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5392c2d75827aacf5'}]",,history,,33532523,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.5.0,2.3.5.0,,2016-10-09 10:14:03.725393,91813,137077.32864700002
