create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.block_size,parameters.chromInfo,parameters.dbkey,parameters.filter_score.__current_case__,parameters.filter_score.evalue,parameters.filter_score.filter_score_select,parameters.gapextend,parameters.gapopen,parameters.hit_filter.__current_case__,parameters.hit_filter.hit_filter_select,parameters.hit_filter.max_target_seqs,parameters.id,parameters.matrix,parameters.method_select,parameters.more_sensitive,parameters.output.__current_case__,parameters.output.fields,parameters.output.outfmt,parameters.query.values,parameters.query_cover,parameters.query_gencode,parameters.ref_db_source.__current_case__,parameters.ref_db_source.db_source,parameters.ref_db_source.reference_database.values,parameters.seg,parameters.sensitive,query,query_filetype,reference_database,reference_database_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-10 06:22:21.749353,slurm_normal,,main_w3_handler1,3422641,18335918,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12420247,slurm,,corral-repl,,"""0.4""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,10,"""0""","""BLOSUM62""","""blastx""","""false""",1,"['qseqid', 'sseqid', 'pident', 'length', 'mismatch', 'gapopen', 'qstart', 'qend', 'sstart', 'send', 'evalue', 'bitscore']",6,"[{'src': 'hda', 'id': 33780789}]","""0""","""1""",1,history,"[{'src': 'hda', 'id': 33764596}]","""true""","""false""",3995140096,fastqsanger,90333132000,dmnd,,43773018,error,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2018-02-11 18:22:32.875561,121564,129611.126208
2018-02-12 22:22:16.501293,slurm_normal,,main_w4_handler0,3426811,18356579,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12441382,slurm,,corral-repl,,"""0.5""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,0.001,evalue,"""1""","""11""",0,max,10,"""80""","""BLOSUM62""","""blastx""","""false""",1,"['qseqid', 'sseqid', 'pident', 'length', 'mismatch', 'gapopen', 'qstart', 'qend', 'sstart', 'send', 'evalue', 'bitscore']",6,"[{'src': 'hda', 'id': 33815505}]","""0""","""1""",1,history,"[{'src': 'hda', 'id': 33814582}]","""true""","""false""",3810002604,fastqsanger,90333132000,dmnd,,43814370,error,toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24,0.8.24,,2018-02-14 10:22:30.063690,121564,129613.562397
