create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-05 14:26:16.860506,slurm_normal,,main_w2_handler1,2365054,9792627,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1155273554,gtf,4094658.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20231930,,,23710916,error,CONVERTER_gff_to_fli_0,1.0.0,,2015-07-07 02:27:09.607787,56940,129652.747281
2015-10-23 18:50:44.494383,slurm_normal,,main_w2_handler1,2482848,10705930,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",510343073,gtf,4967961.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",21451690,,,25514323,error,CONVERTER_gff_to_fli_0,1.0.0,,2015-10-25 07:01:49.662743,56042,130265.16836000001
2015-01-10 23:17:26.801181,rodeo_normal,,main_w2_handler0,2169347,8526788,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2046742600,gtf,736486.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18170388,,,20330716,error,CONVERTER_gff_to_fli_0,1.0.0,,2015-01-12 11:18:08.023471,57847,129641.22229
2017-12-19 20:34:15.792983,slurm_normal,,main_w3_handler1,3369582,17853302,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",510343073,gtf,11925931,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 32992676}]",,42664017,error,CONVERTER_gff_to_fli_0,1.0.0,,2017-12-21 08:34:30.689271,94423,129614.896288
