create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_query,input_query_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.evalue_cutoff,parameters.filter_query,parameters.iden_cutoff,parameters.input_query,parameters.source_select,parameters.word_size,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-02-04 14:21:24.712418,slurm_8threads,,main_w2_handler2,1334016,6458048,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10239715,fasta,488888,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.0001""","""yes""","""90.0""",14264705,"""28jan2013-nt""","""28""",,12443113,error,megablast_wrapper,1.2.0,,2014-02-06 14:39:53.903982,26043.0,173909.191564
2014-01-31 15:26:20.198017,slurm_8threads,,main_w2_handler2,1334016,6440859,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10239715,fasta,471189,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.0001""","""yes""","""90.0""",14264705,"""28jan2013-nt""","""28""",,12443113,error,megablast_wrapper,1.2.0,,2014-02-02 22:14:23.153896,26043.0,197282.95587900002
2014-01-30 14:05:58.575640,slurm_8threads,,main_w2_handler2,1788196,6435041,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",25747039,fasta,467013,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14239069,"""28jan2013-wgs""","""16""",,12658395,error,megablast_wrapper,1.2.0,,2014-02-02 02:41:21.795848,24570.0,218123.220208
2014-02-06 15:18:45.622675,slurm_8threads,,main_w2_handler2,1334016,6473279,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10239715,fasta,504031,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.0001""","""yes""","""90.0""",14264705,"""28jan2013-nt""","""28""",,12443113,error,megablast_wrapper,1.2.0,,2014-02-08 15:28:54.736963,26043.0,173409.114288
2014-02-10 18:14:20.930710,slurm_8threads,,main_w2_handler2,1334016,6494434,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10239715,fasta,525374,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.0001""","""yes""","""80.0""",14264705,"""28jan2013-nt""","""28""",,12443113,error,megablast_wrapper,1.2.0,,2014-02-12 18:24:57.890609,26043.0,173436.959899
2014-02-14 08:52:25.468475,slurm_multi,,main_w2_handler2,1805447,6517541,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3115275228,fasta,548082,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14585270,"""28jan2013-htgs""","""28""",,13336222,error,megablast_wrapper,1.2.0,,2014-02-16 11:48:11.282748,43582.0,183345.81427300003
2014-02-15 09:52:14.003259,slurm_multi,,main_w2_handler2,1805447,6523155,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3151891194,fasta,553467,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14613526,"""28jan2013-htgs""","""28""",,13353546,error,megablast_wrapper,1.2.0,,2014-02-17 10:16:40.538052,43582.0,174266.534793
2014-02-15 12:04:15.367235,slurm_multi,,main_w2_handler2,1806729,6523320,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2591265004,fasta,553686,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14614970,"""28jan2013-htgs""","""28""",,13355741,error,megablast_wrapper,1.2.0,,2014-02-17 12:21:10.583849,40581.0,173815.216614
2014-02-19 10:18:25.356875,slurm_multi,,main_w2_handler2,1811030,6543628,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",19446887476,fasta,574846,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14698216,"""28jan2013-htgs""","""28""",,13430962,error,megablast_wrapper,1.2.0,,2014-02-21 14:40:58.060710,45321.0,188552.70383500002
2014-02-19 10:24:24.279547,slurm_multi,,main_w2_handler2,1811032,6543679,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15522839078,fasta,574865,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14698283,"""28jan2013-htgs""","""28""",,13431096,error,megablast_wrapper,1.2.0,,2014-02-21 15:15:38.152458,45322.0,190273.872911
2014-02-17 12:54:26.263507,slurm_multi,,main_w2_handler2,1808623,6530637,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2591265004,fasta,561446,slurm,,corral-repl,,"""/galaxy/data/chrom/?.len""","""?""","""0.001""","""yes""","""90.0""",14659007,"""28jan2013-htgs""","""28""",,13384703,error,megablast_wrapper,1.2.0,,2014-02-19 13:16:26.976918,40581.0,174120.713411
