chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.non_commercial_use,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-12 19:48:47.472569,slurm_normal,,main_w4_handler0,2852369,14066806,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1315735,fasta,8283898.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56cc2edbf775f5a45'}]","""true""",,,,33632956,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-14 07:49:05.182610,92097.0,129617.71004100001
,,2016-10-13 18:10:59.056994,slurm_normal,,main_w4_handler1,2781941,14075562,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",278599,fasta,8292400.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","[{'src': 'hda', 'id': 'bbd44e69cb8906b530cede8af8d81d35'}]","""true""",0.0,basic,,31905478,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-15 06:11:41.492292,75600.0,129642.43529800001
,,2016-10-13 18:11:00.219467,slurm_normal,,main_w3_handler1,2781941,14075564,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",340480,fasta,8292403.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""","[{'src': 'hda', 'id': 'bbd44e69cb8906b599f9258802a45331'}]","""true""",0.0,basic,,31905478,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-15 06:11:41.526507,75600.0,129641.30704000001
,,2016-10-12 19:50:21.554779,slurm_normal,,main_w3_handler0,2852369,14066815,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1330721,fasta,8283914.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57c5aa81b8c5b841d'}]","""true""",,,,33632956,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-14 07:50:35.572454,92097.0,129614.01767500001
,,2016-10-21 10:37:52.709329,slurm_normal,,main_w4_handler0,2202516,14138858,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",122837,fasta,8352336.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5834139771f844829'}]","""true""",0.0,basic,,33734000,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-22 22:38:30.972847,58234.0,129638.263518
,,2016-10-21 13:38:06.759124,slurm_normal,,main_w4_handler1,2778243,14140960,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",775684,fasta,8354412.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b599e74d89fa14ee00'}]","""true""",,,,31780600,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-23 01:38:34.351815,,129627.59269100001
,,2016-10-24 14:51:36.861554,slurm_normal,,main_w4_handler0,2826140,14158886,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",556240,fasta,8369917.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c2dba1bb0b87f7c6'}]","""true""",,,,33054968,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-26 02:52:27.213678,79607.0,129650.35212400001
,,2016-10-24 14:50:58.150384,slurm_normal,,main_w3_handler0,2826140,14158884,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",507696,fasta,8369876.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56dcbc16b46d213a0'}]","""true""",,,,33054968,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-26 02:51:58.004355,79607.0,129659.853971
,,2016-10-24 14:32:21.932973,slurm_normal,,main_w4_handler1,2826140,14158759,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2071949,fasta,8369509.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52dd7e9787834eba9'}]","""true""",,,,33054968,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-26 02:33:27.935043,79607.0,129666.00207
,,2016-10-26 06:13:23.220550,slurm_normal,,main_w3_handler0,2826140,14175884,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2071949,fasta,8388543.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52dd7e9787834eba9'}]","""true""",,,,33054968,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-27 18:13:46.169597,79607.0,129622.949047
,,2016-11-01 20:20:45.461654,slurm_normal,,main_w4_handler0,2877393,14227638,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1341386,fasta,8437548.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b58004b560ffb03a5c'}]","""true""",,,,34031701,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-11-03 08:35:18.494711,86729.0,130473.03305700001
,,2016-10-08 14:27:50.627274,slurm_normal,,main_w3_handler1,2826253,14035634,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1814080,fasta,8253105.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe611596bf6a95bd'}]","""true""",,,,32248616,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-10 02:28:38.372266,88154.0,129647.744992
,,2016-10-09 14:57:47.061419,slurm_normal,,main_w3_handler1,2782429,14039345,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3180057,fasta,8256770.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5711e27261b42c7ec'}]","""true""",0.0,basic,,31904803,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-10-11 02:58:48.060985,25804.0,129660.99956600001
,,2017-01-13 19:39:28.302729,slurm_normal,,main_w3_handler1,2955686,14762847,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",863800,fasta,8927275.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 27924404}]","""true""",,,,35365308,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-15 07:40:04.771725,98118.0,129636.46899600001
,,2017-01-17 13:26:41.151726,slurm_normal,,main_w4_handler0,2956337,14788148,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",337433,fasta,8950654.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27960058}]","""true""",0.0,basic,,35217326,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-19 01:27:06.818193,97697.0,129625.666467
,,2017-01-17 23:08:39.486170,slurm_normal,,main_w4_handler1,2959349,14794429,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",861120,fasta,8956971.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27969568}]","""true""",0.0,basic,,35443029,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-19 11:09:08.142565,98304.0,129628.65639500001
,,2016-12-12 14:10:35.003461,slurm_normal,,main_w3_handler1,2768711,14551215,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",458157,fasta,8732603.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27595195}]","""true""",0.0,basic,,34803574,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-14 02:11:08.343908,87471.0,129633.34044700001
,,2016-12-24 08:38:09.656224,slurm_normal,,main_w4_handler1,2877948,14641619,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",402169,fasta,8816822.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27735896}]","""true""",,,,34183223,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-25 20:38:24.891713,92799.0,129615.23548900001
,,2016-12-23 17:53:57.911930,slurm_normal,,main_w4_handler0,2926841,14639509,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",626078,fasta,8814873.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 27727228}]","""true""",0.0,basic,,34965507,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-25 05:54:23.610176,96814.0,129625.69824600001
,,2016-12-26 01:54:28.781339,slurm_normal,,main_w4_handler1,2877948,14646128,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",402169,fasta,8820648.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27735896}]","""true""",,,,34183223,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-27 13:55:03.339257,92799.0,129634.557918
,,2016-12-27 12:14:02.224099,slurm_normal,,main_w4_handler0,2864803,14651559,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",402169,fasta,8825526.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27742860}]","""true""",,,,33853412,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-29 00:14:08.966571,,129606.74247200001
,,2016-12-28 21:34:04.031599,slurm_normal,,main_w4_handler0,2835388,14659727,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1067186,fasta,8832992.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 27763733}]","""true""",0.0,basic,,34917492,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2016-12-30 09:34:16.480689,29303.0,129612.44909000001
,,2017-01-03 19:32:03.635938,slurm_normal,,main_w3_handler1,2924033,14682811,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",609675,fasta,8852905.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 27801782}]","""true""",,,,34699603,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-05 07:32:15.802698,65333.0,129612.16676000001
,,2017-03-24 16:01:11.721675,slurm_normal,,main_w3_handler0,3042712,15388217,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1239050,fasta,9524211.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28911238}]","""true""",,,,36609668,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-03-26 04:07:56.405615,5424.0,130004.68394
,,2017-01-04 03:50:10.475085,slurm_normal,,main_w3_handler1,2924033,14685218,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",666357,fasta,8855115.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 27801781}]","""true""",,,,34699603,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-05 15:50:50.520500,65333.0,129640.04541500002
,,2017-01-05 17:24:06.012959,slurm_normal,,main_w3_handler1,2924033,14697648,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",609675,fasta,8868041.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","[{'src': 'hda', 'id': 27801782}]","""true""",,,,34699603,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-07 05:24:58.324914,65333.0,129652.31195500001
15.0,len,2017-01-05 20:43:13.999210,slurm_normal,,main_w3_handler0,2212032,14698601,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",702437,fasta,8868947.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/558/dataset_10558113.dat""","""?""","[{'src': 'hda', 'id': 27825533}]","""true""",0.0,basic,,35213839,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-07 08:43:29.170668,59863.0,129615.17145800001
15.0,len,2017-01-05 20:41:32.406391,slurm_normal,,main_w4_handler0,2212032,14698576,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",603231,fasta,8868930.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/558/dataset_10558113.dat""","""?""","[{'src': 'hda', 'id': 27825524}]","""true""",,,,35213839,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-07 08:42:29.236512,59863.0,129656.830121
15.0,len,2017-01-05 20:43:36.250252,slurm_normal,,main_w4_handler0,2212032,14698613,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1071105,fasta,8868959.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/558/dataset_10558113.dat""","""?""","[{'src': 'hda', 'id': 27825537}]","""true""",0.0,basic,,35213839,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-07 08:43:58.494531,59863.0,129622.244279
,,2017-01-30 10:15:38.845086,slurm_normal,,main_w3_handler0,2932386,14903277,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1346097,fasta,9059476.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 28135753}]","""true""",,,,34651844,error,toolshed.g2.bx.psu.edu/repos/iuc/meme_meme/meme_meme/4.11.1.0,4.11.1.0,,2017-01-31 22:15:54.600037,12752.0,129615.75495100001
