create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aggregation_action,parameters.chromInfo,parameters.dbkey,parameters.exclude_count,parameters.input_file,parameters.input_file.values,parameters.keep_zero_length,parameters.quality_score,parameters.score_comparison,parameters.step_size,parameters.trim_ends,parameters.window_size,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-17 06:40:52.942126,rodeo_normal,,main_w2_handler1,2225072,8963968,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2510248,fastqsanger,3195901.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",18878716,,"""False""","""0.0""",""">=""","""72""","""53""","""60""",,21548694.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-03-18 18:41:29.008254,,129636.066128
2015-05-12 02:52:56.524619,slurm_normal,,main_w2_handler1,2299378,9449474,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",296045772,fastqsanger,3774939.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""","""100""",19643395,,"""False""","""20.0""","""<=""","""1""","""3""","""150""",,22988937.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-05-13 14:53:33.990088,63275.0,129637.465469
2015-09-02 12:42:41.951010,slurm_normal,,main_w2_handler0,2424647,10243619,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",41956385036,fastqsanger,4527701.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/main/files/012/339/dataset_12339676.dat""","""MV_wtmCh""","""4""",20977927,,"""False""","""15.0""",""">=""","""1""","""53""","""20""",,24970378.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-09-04 00:43:20.018404,68413.0,129638.06739400001
2015-10-31 02:44:24.327409,slurm_normal,,main_w1_handler2,2491180,10777865,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6218201,fastqsanger,5036091.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",21819596,,"""False""","""20.0""",""">=""","""1""","""53""","""50""",,26009165.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-11-01 14:45:02.443528,60537.0,129638.11611900001
2015-10-31 04:16:20.202790,slurm_normal,,main_w1_handler1,2491180,10778033,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6218201,fastqsanger,5036240.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",21819596,,"""False""","""20.0""",""">=""","""10""","""53""","""50""",,26009165.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-11-01 16:17:05.461343,60537.0,129645.258553
2015-12-01 15:06:27.238050,slurm_normal,,main_w2_handler0,2443849,11053125,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5212623407,fastqsanger,5307831.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""12""",21165867,,"""False""","""30.0""",""">=""","""1""","""5""","""20""",,26472794.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2015-12-03 03:07:24.832560,62119.0,129657.59451000001
2016-04-07 20:54:52.733695,slurm_normal,,main_w2_handler0,2660019,12375812,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6218201,fastqsanger,6572784.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""",24171061,,"""False""","""30.0""",""">=""","""1""","""53""","""50""",,29272993.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-04-09 08:55:11.858384,81392.0,129619.124689
2016-10-27 17:20:05.873597,slurm_normal,,main_w4_handler1,2860007,14192946,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",33084951536,fastqsanger,8405254.roundup,slurm,,corral-repl,,,"""mean""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54c2126515e84c207'}]","""false""","""20.0""",""">=""","""1""","""53""","""3""",,31939447.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-10-29 05:20:28.713961,4519.0,129622.840364
2016-10-27 17:19:57.257029,slurm_normal,,main_w3_handler1,2860007,14192945,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",21351079121,fastqsanger,8405253.roundup,slurm,,corral-repl,,,"""mean""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5566a066aea5523ce'}]","""false""","""20.0""",""">=""","""1""","""53""","""3""",,31939447.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-10-29 05:20:28.041168,4519.0,129630.78413900001
2016-10-28 10:35:19.955401,slurm_normal,,main_w4_handler0,2802419,14199021,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8541571483,fastqsanger,8410544.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56219767754e21e08'}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,33899445.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-10-29 22:44:31.382809,57553.0,130151.427408
2016-10-28 10:35:39.995928,slurm_normal,,main_w4_handler1,2802419,14199038,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6091422349,fastqsanger,8410546.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e97f988e53685fcb'}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,33899445.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-10-29 22:46:30.267320,57553.0,130250.27139200001
2016-11-07 08:51:42.433126,slurm_normal,,main_w3_handler0,2802419,14270741,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6091422349,fastqsanger,8479247.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e97f988e53685fcb'}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,32573845.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-08 20:51:55.012990,57553.0,129612.57986400001
2016-11-07 08:51:23.916992,slurm_normal,,main_w3_handler0,2802419,14270740,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8541571483,fastqsanger,8479246.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56219767754e21e08'}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,32573845.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-08 20:51:54.769307,57553.0,129630.85231500001
2016-11-15 11:13:13.082653,slurm_normal,,main_w4_handler1,2894953,14343550,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9172937269,fastqsanger,8549656.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5721b3e910527e588'}]","""false""","""20.0""",""">=""","""1""","""53""","""8""",,34262805.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-16 23:13:46.168243,94876.0,129633.08559
2016-11-22 17:38:11.216559,slurm_normal,,main_w4_handler0,2845124,14407396,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5018602495,fastqsanger,8611989.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 27370072}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,33501719.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-24 05:50:36.083398,91735.0,130344.86683900001
2016-11-21 11:09:31.292823,slurm_normal,,main_w4_handler1,2802419,14397034,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8212342243,fastqsanger,8602191.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fc5649684630ae61'}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,33899445.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-23 09:08:25.422297,57553.0,165534.12947400002
2016-11-29 08:09:38.773887,slurm_normal,,main_w4_handler0,2910535,14442234,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2092066918,fastqsanger,8639668.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 27428430}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,34501296.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-30 21:16:31.510108,88387.0,133612.736221
2016-11-29 08:39:44.476021,slurm_normal,,main_w3_handler0,2910535,14442407,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2411592172,fastqsanger,8639872.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 27428728}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,34501296.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2016-11-30 20:40:46.489470,88387.0,129662.013449
2017-03-10 18:15:14.515500,slurm_normal,,main_w3_handler0,3026546,15265517,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",419430400,fastqsanger,9411488.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 28708579}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,36556874.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2017-03-12 06:15:49.501306,96255.0,129634.98580600001
2017-03-10 18:15:17.005110,slurm_normal,,main_w3_handler0,3026546,15265523,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1618524377,fastqsanger,9411489.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 28708585}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,36556874.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2017-03-12 06:15:50.085800,96255.0,129633.08069
2017-03-10 18:15:16.467749,slurm_normal,,main_w3_handler1,3026546,15265522,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",306184192,fastqsanger,9411491.roundup,slurm,,corral-repl,,,"""min""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 28708584}]","""false""","""20.0""",""">=""","""1""","""53""","""1""",,36556874.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0,1.0.0,,2017-03-12 06:15:49.394263,96255.0,129632.926514
