chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-01 08:00:15.133981,slurm_multi,,main_w2_handler2,2584351,11654157,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20387676,tabular,5914880,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23111429,,,,27983959,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-02 20:01:00.801281,77816,129645.6673
,,2016-01-27 12:51:24.859756,slurm_multi,,main_w2_handler2,2442115,11614219,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42835077,tabular,5878806,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23056506,,,,27820998,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-01-29 00:52:45.475908,69506,129680.616152
14.0,len,2016-02-14 04:17:29.959346,slurm_multi,,main_w2_handler2,2598978,11819059,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3916692894,tabular,6073326,slurm,,corral-repl,,0,no,,"""dafe494cd2d111e5baca005056a51846""","""/galaxy-repl/main/files/014/350/dataset_14350748.dat""","""?""",23333692,,,,28358959,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-16 15:12:37.701364,58640,212107.74201800002
,,2016-03-11 11:04:34.521595,slurm_multi,,main_w2_handler2,2628750,12105184,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1203493609,tabular,6329125,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23794906,,,,28040070,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-03-12 23:07:18.687736,58582,129764.16614100001
,,2016-02-12 20:36:39.158540,slurm_multi,,main_w2_handler2,2585439,11813800,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3916692894,tabular,6066428,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23325962,,,,28349835,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-15 03:12:15.616387,58640,196536.457847
,,2016-02-14 03:27:02.587004,slurm_multi_development,,main_w2_handler2,2585439,11818948,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3916692894,tabular,6068422.roundup,slurm,,corral-repl,,1,yes,slurm_multi_development,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23325962,,,,28358959,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-14 03:57:40.329172,58640,1837.7421680000002
14.0,len,2016-02-16 22:33:23.246428,slurm_multi,,main_w2_handler2,2585439,11852844,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3866102582,tabular,6095463,slurm,,corral-repl,,1,yes,slurm_multi,,"""/galaxy-repl/main/files/014/350/dataset_14350748.dat""","""?""",23325967,,,,28428511,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-18 10:34:15.282880,58640,129652.03645200001
,,2016-02-20 00:05:28.001665,slurm_multi,,main_w2_handler2,2604127,11882366,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1531576826,tabular,6122105,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23429650,,,,28509907,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-02-21 12:07:34.975663,72547,129726.973998
,,2016-09-09 09:47:34.408060,slurm_multi,,main_w4_handler2,2813864,13814392,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1494855098,tabular,8035755,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e032589782f7bed5'}]",,,32791624,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-09-10 21:48:04.417649,87638,129630.00958900001
,,2016-02-29 23:36:17.320521,slurm_multi,,main_w2_handler2,2616532,11976440,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11603144,sam,6205338,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23565322,,,,28709410,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-03-02 11:39:31.134945,67313,129793.81442400001
,,2016-06-21 13:09:36.491053,slurm_multi,,main_w2_handler2,2745050,13224723,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2619464,tabular,7409581,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f1ef47110f9dfe7a'}]",,,30952259,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-23 01:12:49.926491,86313,129793.43543800001
,,2016-06-23 02:49:03.498415,slurm_multi,,main_w2_handler2,2745050,13243061,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2250184,tabular,7429065,slurm,,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ede8ca0a004f34e3'}]",,,30952259,error,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-24 14:50:00.167168,86313,129656.668753
