create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,parameters.manipulate_blocks,parameters.match_blocks,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-13 08:45:48.448569,slurm_normal,,main_w1_handler2,2638625,12438014,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24443050918,fastqsanger,6637327.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5224c449265294806'}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""miscellaneous"", ""__current_case__"": 3, ""manipulation"": {""manipulation_selector"": ""remove"", ""__current_case__"": 0}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": ""/2"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,29559618,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-04-14 20:46:57.652741,80948,129669.20417200001
2016-04-13 08:45:26.701825,slurm_normal,,main_w1_handler0,2638625,12438010,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24443050918,fastqsanger,6637321.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5224c449265294806'}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""miscellaneous"", ""__current_case__"": 3, ""manipulation"": {""manipulation_selector"": ""remove"", ""__current_case__"": 0}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": ""/1"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,29559618,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-04-14 20:46:28.749742,80948,129662.047917
2016-11-02 13:01:42.458022,slurm_normal,,main_w3_handler0,2848883,14232789,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",22152405008,fastqsanger,8442597.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5274df61f6d9d18e1'}]",[],"[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": ""1$"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,33564384,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-11-04 01:02:10.453973,91876,129627.995951
2016-11-02 13:01:55.536596,slurm_normal,,main_w4_handler0,2848883,14232804,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",22152405008,fastqsanger,8442599.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5274df61f6d9d18e1'}]",[],"[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": ""2$"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,33564384,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-11-04 01:02:10.109533,91876,129614.572937
2016-11-25 16:37:53.350262,slurm_normal,,main_w4_handler1,2804944,14432596,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8517896158,fastqsanger,8633679.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27183698}]",[],[],,34424833,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-11-27 04:38:27.522009,89189,129634.17174700001
2016-11-24 17:26:26.689364,slurm_normal,,main_w3_handler1,2895538,14426342,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13792194774,fastqsanger,8628812.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27329327}]",[],[],,34450403,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2016-11-26 05:26:51.513780,94905,129624.824416
2017-04-27 20:05:41.644934,slurm_normal,,main_w3_handler1,3088616,15695364,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7804262514,fastqcssanger,9808454.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29387437}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""sequence"", ""__current_case__"": 1, ""manipulation"": {""manipulation_selector"": ""change_adapter"", ""new_adapter"": """", ""__current_case__"": 7}}}, {""__index__"": 1, ""manipulation_type"": {""manipulation_type_selector"": ""sequence"", ""__current_case__"": 1, ""manipulation"": {""manipulation_selector"": ""translate"", ""to"": ""ACGTN"", ""from"": ""0123."", ""__current_case__"": 6}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": "".*"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,37593308,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2017-04-29 08:06:01.446539,104791,129619.80160500002
2017-04-27 20:10:34.970573,slurm_normal,,main_w4_handler0,3088616,15695446,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7796292594,fastqcssanger,9808519.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29387699}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""sequence"", ""__current_case__"": 1, ""manipulation"": {""manipulation_selector"": ""change_adapter"", ""new_adapter"": """", ""__current_case__"": 7}}}, {""__index__"": 1, ""manipulation_type"": {""manipulation_type_selector"": ""sequence"", ""__current_case__"": 1, ""manipulation"": {""manipulation_selector"": ""translate"", ""to"": ""ACGTN"", ""from"": ""0123."", ""__current_case__"": 6}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": "".*"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,37593308,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2017-04-29 08:12:01.212229,104791,129686.24165600001
2017-06-21 09:44:42.881098,slurm_normal,,main_w4_handler0,3135920,16151821,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",38674896620,fastqsanger,10230566.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30107957}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""miscellaneous"", ""__current_case__"": 3, ""manipulation"": {""manipulation_selector"": ""remove"", ""__current_case__"": 0}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": "".*.+/1"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,38823443,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2017-06-22 21:45:11.294392,32842,129628.41329400001
2017-06-21 09:44:32.057129,slurm_normal,,main_w3_handler1,3135920,16151818,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",38674896620,fastqsanger,10230570.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30107957}]","[{""__index__"": 0, ""manipulation_type"": {""manipulation_type_selector"": ""miscellaneous"", ""__current_case__"": 3, ""manipulation"": {""manipulation_selector"": ""remove"", ""__current_case__"": 0}}}]","[{""__index__"": 0, ""match_type"": {""match_type_selector"": ""identifier"", ""match"": {""match_by"": "".*.+/2"", ""match_selector"": ""regex"", ""__current_case__"": 0}, ""__current_case__"": 0}}]",,38823443,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_manipulation/fastq_manipulation/1.0.1,1.0.1,,2017-06-22 21:46:12.280508,32842,129700.223379
