create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,own_file,own_file_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.presets,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.aligned_file,parameters.library.input_1.values,parameters.library.input_2.values,parameters.library.paired_options.I,parameters.library.paired_options.X,parameters.library.paired_options.__current_case__,parameters.library.paired_options.dovetail,parameters.library.paired_options.fr_rf_ff,parameters.library.paired_options.no_contain,parameters.library.paired_options.no_discordant,parameters.library.paired_options.no_mixed,parameters.library.paired_options.no_overlap,parameters.library.paired_options.paired_options_selector,parameters.library.type,parameters.library.unaligned_file,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.own_file.values,parameters.reference_genome.source,parameters.rg.__current_case__,parameters.rg.rg_selector,parameters.save_mapping_stats,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-02 00:12:29.536788,slurm_multi,,main_w4_handler2,3272421,16982102,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",84065104381,fastqsanger.gz,86121866804,fastqsanger.gz,11049318.roundup,slurm,,corral-repl,,,,0,no,0,simple,no_presets,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,false,"[{'src': 'hda', 'id': 31494352}]","[{'src': 'hda', 'id': 31494354}]",0,500,0,false,--fr,false,false,false,false,yes,paired,true,0,hg38canon,,indexed,3,do_not_set,"""true""",,40989520,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-10-03 12:13:00.832029,112562,129631.29524100001
2017-09-22 06:56:50.013813,slurm_multi,,main_w4_handler2,1172460,16896379,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",122938457701,fastqsanger,112632327633,fastqsanger,10965238.roundup,slurm,,corral-repl,1259808371.0,fasta,,0,no,0,simple,no_presets,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,false,"[{'src': 'hda', 'id': 31215254}]","[{'src': 'hda', 'id': 31215255}]",0,1000,0,false,--fr,false,false,false,false,yes,paired,false,1,,"[{'src': 'hda', 'id': 31288765}]",history,3,do_not_set,"""true""",,40401459,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.2.2,2.3.2.2,,2017-09-23 18:57:16.695722,27599,129626.681909
