create_time,destination_id,exit_code,genomic_feature,genomic_feature_filetype,genomic_interval,genomic_interval_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genomic_feature,parameters.genomic_feature.values,parameters.genomic_interval,parameters.genomic_interval.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-09-07 14:03:01.650316,slurm_normal,,341459672,bed,11076023,bed,main_w3_handler0,2813138,13798359,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8021138.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b528ef2b68519fa265'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50174ab6f2acf1b24'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-09 07:11:16.610231,52630.0,148094.959915
2016-09-07 14:02:39.932962,slurm_normal,,341459672,bed,37013407,bed,main_w3_handler0,2813138,13798346,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8019388.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b528ef2b68519fa265'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6bb62b4c5a1d0a6'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-09 02:59:44.605698,52630.0,133024.672736
2016-09-07 14:02:40.234378,slurm_normal,,142900861,bed,37013407,bed,main_w4_handler1,2813138,13798347,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8019390.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e2cacbb1169a969'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6bb62b4c5a1d0a6'}]",,31887632,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2016-09-09 02:59:47.004215,52630.0,133026.769837
2014-08-14 13:52:20.556536,slurm_single,,1059467388,interval,682974896,bed,main_w2_handler1,1846132,7438479,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1440647,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",16343813,,16343794,,,15628869,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-08-16 14:06:13.373037,12743.0,173632.81650100002
2014-08-15 22:00:04.701129,slurm_single,,339818234,interval,440646278,interval,main_w1_handler1,1498447,7446425,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1447638,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16347207,,16357477,,,16142025,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-08-17 22:14:49.083142,36301.0,173684.38201300002
2014-08-16 17:07:20.557171,slurm_single,,1050669631,interval,682974896,bed,main_w2_handler0,1846132,7448085,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1449756,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",16360509,,16343794,,,16091302,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-08-18 17:17:50.326698,12743.0,173429.769527
2014-08-20 03:39:42.988527,slurm_single,,339818234,interval,440646278,interval,main_w2_handler0,1498447,7462767,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1464651,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16383171,,16383172,,,16142025,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-08-22 03:50:12.618809,36301.0,173429.630282
2014-09-03 18:25:57.442750,slurm_single,,440646278,interval,339818234,interval,main_w1_handler0,1498447,7562910,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1560638,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16357477,,16383171,,,16142025,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-09-05 20:13:24.291339,36301.0,179246.848589
2014-09-05 22:29:07.892793,slurm_single,,440646278,interval,339818234,interval,main_w1_handler1,1498447,7615091,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1600837,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16357477,,16383171,,,16142025,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-09-07 22:39:58.148246,36301.0,173450.25545300002
2014-09-14 08:08:43.103215,roundup_single,,442219391,interval,116872464,bed,main_w2_handler1,2044944,7767679,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1752932,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",16838295,,16837861,,,16963023,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-09-16 08:10:47.237868,52862.0,172924.13465300002
2014-12-04 04:39:33.328418,rodeo_normal,,570172748,interval,11987365,bed,main_w1_handler1,2125855,8315846,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2192984.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",17778271,,17677251,,,18459410,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-12-05 16:39:47.396009,52862.0,129614.06759100001
2014-12-07 05:22:17.366760,rodeo_normal,,570172748,interval,11987365,bed,main_w1_handler0,2125855,8363913,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",487673.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",17778271,,17677251,,,18459410,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-12-08 17:22:49.262098,52862.0,129631.895338
2014-12-19 15:28:16.783055,rodeo_normal,,396760187,interval,19281549,interval,main_w1_handler1,2147362,8445606,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2349575.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18031867,,18031848,,,18459410,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-12-21 03:30:51.089185,52862.0,129754.30613000001
2014-12-19 15:28:29.808707,rodeo_normal,,396760187,interval,24024424,interval,main_w2_handler1,2147362,8445607,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2349579.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18031867,,18031847,,,18459410,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2014-12-21 03:31:50.539183,52862.0,129800.73047600001
2015-03-12 01:59:53.492610,rodeo_normal,,327771985,interval,102962720,bed,main_w2_handler1,2207585,8921903,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3120122.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18823716,,18823659,,,21274586,error,toolshed.g2.bx.psu.edu/repos/devteam/weightedaverage/wtavg/1.0.0,1.0.0,,2015-03-13 16:45:57.309831,,139563.817221
