create_time,destination_id,exit_code,handler,histdb,histdb_filetype,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.__current_case__,parameters.adv_opts.adv_optional_id_files_opts.adv_optional_id_files_opts_selector,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.filter_query,parameters.adv_opts.identity_cutoff,parameters.adv_opts.max_hits,parameters.adv_opts.max_hsps,parameters.adv_opts.parse_deflines,parameters.adv_opts.qcov_hsp_perc,parameters.adv_opts.strand,parameters.adv_opts.ungapped,parameters.adv_opts.word_size,parameters.blast_type,parameters.chromInfo,parameters.db_opts.__current_case__,parameters.db_opts.database,parameters.db_opts.db_opts_selector,parameters.db_opts.histdb.values,parameters.db_opts.subject,parameters.dbkey,parameters.evalue_cutoff,parameters.query.values,query,query_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-02 15:22:31.165709,slurm_normal,,main_w3_handler0,312,blastdbn,3447054,18582464,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12677024,slurm,,corral-repl,,1,0,none,advanced,true,0.0,0,,false,0.0,-strand both,false,32,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",1,,histdb,"[{'src': 'hda', 'id': 34130594}]",,"""?""","""0.001""","[{'src': 'hda', 'id': 34130593}]",2254015371,fasta,,43051392,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-04 03:23:16.439476,91803,129645.273767
2018-02-28 21:34:26.684819,slurm_normal,,main_w3_handler1,312,blastdbn,3445280,18555050,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12651815,slurm,,corral-repl,,1,0,none,advanced,true,0.0,0,,false,0.0,-strand both,false,32,"""megablast""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",1,,histdb,"[{'src': 'hda', 'id': 34104512}]",,"""?""","""0.001""","[{'src': 'hda', 'id': 34104509}]",2254015371,fasta,,43051392,error,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.2.01,0.2.01,,2018-03-02 09:34:55.391359,91803,129628.70654000001
