create_time,destination_id,exit_code,forward_input,forward_input_filetype,handler,history_id,id,imported,info,input_sequences,input_sequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.kraken_database,parameters.only_classified_output,parameters.quick_operation.__current_case__,parameters.quick_operation.min_hits,parameters.quick_operation.quick,parameters.single_paired.__current_case__,parameters.single_paired.check_names,parameters.single_paired.forward_input.values,parameters.single_paired.input_sequences.values,parameters.single_paired.reverse_input.values,parameters.single_paired.single_paired_selector,parameters.split_reads,reverse_input,reverse_input_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-02 21:02:49.317610,slurm_multi,,1324658887.0,fasta,main_w4_handler2,3266195,16993723,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,11057916.roundup,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 31513791}]",,"[{'src': 'hda', 'id': 31513164}]",yes,"""false""",1321212395.0,fasta,,40918844,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-10-04 09:03:17.267579,73936,129627.94996900001
2017-10-27 14:54:40.615019,slurm_multi_development,,,,main_w3_handler2,3300941,17240818,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9262779.0,fasta,11301543,slurm,,corral-repl,,1,yes,slurm_multi_development,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 31924114}]",,no,"""true""",,,,41542842,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-10-27 15:25:50.118319,114572,1869.5033
2017-11-08 10:30:04.157628,slurm_multi,,,,main_w4_handler2,3032474,17378857,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",681767746.0,fasta,11440308,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 32144996}]",,no,"""true""",,,,41843567,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-11-09 22:31:00.233686,102088,129656.076058
2017-11-28 12:47:41.463382,slurm_multi,,8673524674.0,fastq,main_w3_handler2,3196732,17618417,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,11679397,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 32574137}]",,"[{'src': 'hda', 'id': 32574138}]",yes,"""false""",8716657028.0,fastq,,42297710,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-11-30 15:58:45.990204,99908,184264.526822
2017-11-30 13:35:52.142001,slurm_multi,,,,main_w3_handler2,3344659,17650418,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2582309788.0,fastqsanger,11712344,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 32608864}]",,no,"""false""",,,,42347610,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-02 07:51:31.199820,100847,152139.057819
2017-12-04 15:26:41.080995,slurm_multi,,16173325491.0,fastqsanger,main_w3_handler2,3346731,17691151,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,11755588,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 32718742}]",,"[{'src': 'hda', 'id': 32718743}]",yes,"""true""",16173325491.0,fastqsanger,,42448838,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-06 03:30:52.993542,113740,129851.91254700001
2017-12-04 20:06:52.466713,slurm_multi,,3653315872.0,fastqsanger,main_w3_handler2,3346731,17694992,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,11759092,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 32656551}]",,"[{'src': 'hda', 'id': 32656550}]",yes,"""true""",4337922605.0,fastqsanger,,42448838,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-06 08:07:57.688327,113740,129665.22161400001
2018-03-07 02:35:30.644452,slurm_multi,,,,main_w3_handler2,2646908,18633472,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",705417445.0,fasta,12730048,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 34251865}]",,no,"""false""",,,,42855583,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-03-08 14:43:27.387397,81421,130076.742945
2017-12-10 19:54:42.051261,slurm_multi,,1589567508.0,fastqsanger,main_w4_handler2,3284781,17766057,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,11834774,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",0,1,yes,1,false,"[{'src': 'hda', 'id': 32809603}]",,"[{'src': 'hda', 'id': 32809810}]",yes,"""false""",832429643.0,fastqsanger,,41243504,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2017-12-12 07:55:02.576671,113508,129620.52541
2018-01-25 00:44:04.176673,slurm_multi,,6458697733.0,fastqsanger,main_w3_handler2,3404333,18150140,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12230860,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,true,"[{'src': 'hda', 'id': 33488678}]",,"[{'src': 'hda', 'id': 33488657}]",yes,"""false""",6458697733.0,fastqsanger,,43421689,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-01-26 12:44:19.331472,120571,129615.15479900001
2018-02-05 16:26:34.681317,slurm_multi,,5033736819.0,fastqsanger,main_w4_handler2,2750890,18259969,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12341561,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",0,1,yes,1,false,"[{'src': 'hda', 'id': 33647192}]",,"[{'src': 'hda', 'id': 33647193}]",yes,"""false""",5033736819.0,fastqsanger,,43358388,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-07 04:53:01.837110,68223,131187.155793
2018-03-07 02:35:33.491105,slurm_multi,,,,main_w4_handler2,2646908,18633477,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",444550912.0,fasta,12748182,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,2,,,"[{'src': 'hda', 'id': 34252351}]",,no,"""false""",,,,42855583,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-03-09 19:10:23.895259,81421,232490.40415400002
2018-02-13 04:42:04.601373,slurm_multi,,1346762179.0,fastqsanger,main_w3_handler2,3413492,18359409,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12484343,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 33801040}]",,"[{'src': 'hda', 'id': 33801112}]",yes,"""false""",1371294545.0,fastqsanger,,43686419,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-17 04:29:56.971717,84166,344872.370344
2018-02-19 03:17:07.405633,slurm_multi,,1346762179.0,fastqsanger,main_w4_handler2,3413492,18430860,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,12524975,slurm,,corral-repl,,0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bacteria""","""false""",1,,no,1,false,"[{'src': 'hda', 'id': 33801040}]",,"[{'src': 'hda', 'id': 33801112}]",yes,"""false""",1371294545.0,fastqsanger,,43686419,error,toolshed.g2.bx.psu.edu/repos/devteam/kraken/kraken/1.2.3,1.2.3,,2018-02-20 15:17:27.295009,84166,129619.889376
