create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,input_bams_3|input_bam,input_bams_3|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.advanced_options.coverage_dtype,parameters.advanced_options.safe,parameters.chromInfo,parameters.coverage_dtype,parameters.dbkey,parameters.min_base_quality,parameters.min_mapping_quality,parameters.min_support_depth,parameters.ploidy,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.regions,parameters.use_strand,parameters.variants_only,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-05 10:56:47.210729,slurm_normal_16gb,,main_w2_handler1,1600309,10066336,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4640533573.0,bam,,,,,,,4344874.roundup,slurm,,corral-repl,,,1.0,advanced,guess,False,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20682799}]",hg38,cached,[],"""False""","""False""",,,,,,24388574.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-06 10:57:13.953294,39013,86426.74256500001
2015-07-20 18:31:26.515126,slurm_normal_16gb,,main_w2_handler0,1871712,9919323,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1067545517.0,bam,1381269302.0,bam,,,,,4207191.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""","""10""","""10""","""10""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20403696}, {'__index__': 1, 'input_bam': 20403867}]",mm10,cached,[],"""False""","""False""",,,,,,24223182.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-07-21 18:32:19.453976,47785,86452.93885
2015-08-12 09:28:21.535958,slurm_normal_16gb,,main_w1_handler1,1600309,10099186,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5490417014.0,bam,,,,,,,4374016.roundup,slurm,,corral-repl,,,1.0,advanced,guess,False,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",,"""hg_g1k_v37""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20745270}]",Homo_sapiens_nuHg19_mtrCRS,cached,[],"""False""","""False""",,,,,,24388574.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-13 09:29:05.122822,39013,86443.58686400001
2015-08-12 18:04:35.633414,slurm_normal_16gb,,main_w2_handler1,2391699,10103905,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1925505619.0,bam,,,,,,,4377832.roundup,slurm,,corral-repl,,,1.0,advanced,guess,False,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""","""11""","""11""","""11""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20591575}]",hg38,cached,[],"""False""","""False""",,,,,,24350942.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-13 18:05:36.060796,66992,86460.42738200001
2015-09-19 13:23:16.578348,slurm_normal_16gb,,main_w1_handler0,2443981,10359990,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15203138.0,bam,,,,,,,4646574.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/papHam.len""",,"""papHam""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21168197}]",12931,cached,[],"""False""","""False""",,,,,,25253297.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-21 13:24:31.706086,69593,172875.127738
2015-09-19 13:23:05.912982,slurm_normal_16gb,,main_w1_handler2,2443981,10359989,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",18809115.0,bam,,,,,,,4642148.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/papHam.len""",,"""papHam""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21168198}]",12931,cached,[],"""False""","""False""",,,,,,25253297.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-20 13:23:54.200146,69593,86448.28716400001
2015-08-25 12:52:45.742066,slurm_normal_16gb,,main_w1_handler2,2388832,10195894,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3589606410.0,bam,,,,,,,4466452.roundup,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 20577106}]",hg19,cached,[],"""False""","""False""",,,,,,24306347.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-08-26 12:53:33.545408,66844,86447.803342
2015-09-11 15:59:41.648164,slurm_normal_16gb,,main_w1_handler1,2422303,10303616,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9704922854.0,bam,,,,,,,4588330.roundup,slurm,,corral-repl,,,1.0,advanced,guess,False,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""""","""""","""5""","""2""",0.0,"[{'__index__': 0, 'input_bam': 21049351}]",hg19,cached,[],"""False""","""False""",,,,,,24897944.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2015-09-12 16:00:11.447485,68308,86429.799321
2014-02-02 17:26:48.174374,slurm_single,,main_w1_handler0,1694216,6447920,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",367047842.0,bam,,,,,,,478736,slurm,,corral-repl,,,,,,,"""/galaxy/data/chrom/hg19Patch10.len""","""uint16""","""hg19Patch10""","""""","""""","""0""","""2""",,,,,[],"""False""","""False""",,,,,,13136731.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-02-04 17:37:20.684713,29483,173432.510339
2014-08-12 13:25:03.153222,slurm_single,,main_w2_handler1,2013017,7425752,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2903919628.0,bam,,,,,,,1429017,slurm,,corral-repl,,,0.0,basic,,,"""/galaxy-repl/localdata/chrom/hg18.len""",,"""hg18""","""""","""""","""0""","""2""",0.0,"[{'__index__': 0, 'input_bam': 16317612}]",hg18,cached,[],"""False""","""False""",,,,,,15909628.0,error,toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.1,0.0.1,,2014-08-14 13:35:40.317453,5254,173437.164231
