BED,BED1,BED1_filetype,BED_filetype,bamfiles,bamfiles1,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.BED.values,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.chromInfo,parameters.dbkey,parameters.multibam_conditional.__current_case__,parameters.multibam_conditional.bamfiles.values,parameters.multibam_conditional.orderMatters,parameters.outFileFormat,parameters.outRawCounts,parameters.region,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
752785206,752785206,bed,bed,550107427,550107427,bam,,,,,,,bam,2017-11-23 11:55:08.484909,slurm_normal,,main_w3_handler0,3317981,17561022,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11621937,slurm,,corral-repl,,"[{'src': 'hda', 'id': 32491629}]",0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,"[{'src': 'hda', 'id': 32191424}]",No,"""png""","""false""","""""",,41264732,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2017-11-25 00:00:03.640122,21537,129895.155213
513817934,513817934,bed,bed,294963803,294963803,bam,260360232.0,bam,429375024.0,bam,627112108.0,bam,bam,2018-01-16 10:36:01.682200,slurm_normal,,main_w4_handler0,3379857,18046653,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12124069,slurm,,corral-repl,,"[{'src': 'hda', 'id': 33328445}]",0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,"[{'src': 'hda', 'id': 33325519}, {'src': 'hda', 'id': 33325685}, {'src': 'hda', 'id': 33325957}, {'src': 'hda', 'id': 33326366}]",No,"""png""","""false""","""""",,43011519,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-01-17 22:36:09.583419,119276,129607.901219
8557998,8557998,bed,bed,8512325,8512325,bam,,,,,,,bam,2018-02-19 06:31:59.809440,slurm_normal,,main_w3_handler1,3432046,18432480,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12526785,slurm,,corral-repl,,"[{'src': 'hda', 'id': 33933956}]",0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,"[{'src': 'hda', 'id': 33912824}]",No,"""png""","""false""","""""",,43791088,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.5.0.0,2.5.0.0,,2018-02-20 18:32:29.029094,100803,129629.21965400001
