create_time,destination_id,exit_code,fastq_input1,fastq_input1_filetype,fastq_input2,fastq_input2_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.analysis_type.B,parameters.analysis_type.E,parameters.analysis_type.L,parameters.analysis_type.M,parameters.analysis_type.O,parameters.analysis_type.R,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.d,parameters.analysis_type.e,parameters.analysis_type.i,parameters.analysis_type.k,parameters.analysis_type.l,parameters.analysis_type.m,parameters.analysis_type.n,parameters.analysis_type.o,parameters.analysis_type.q,parameters.chromInfo,parameters.dbkey,parameters.fastq_input1|__identifier__,parameters.input_type.__current_case__,parameters.input_type.adv_pe_options.__current_case__,parameters.input_type.adv_pe_options.adv_pe_options_selector,parameters.input_type.adv_se_options.__current_case__,parameters.input_type.adv_se_options.adv_se_options_selector,parameters.input_type.fastq_input1,parameters.input_type.fastq_input1.values,parameters.input_type.fastq_input2,parameters.input_type.fastq_input2.values,parameters.input_type.input_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.index_a,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rg.CN,parameters.rg.DS,parameters.rg.DT,parameters.rg.FO,parameters.rg.KS,parameters.rg.PG,parameters.rg.PI,parameters.rg.PL,parameters.rg.PU,parameters.rg.__current_case__,parameters.rg.read_group_id_conditional.__current_case__,parameters.rg.read_group_id_conditional.do_auto_name,parameters.rg.read_group_lb_conditional.__current_case__,parameters.rg.read_group_lb_conditional.do_auto_name,parameters.rg.read_group_sm_conditional.__current_case__,parameters.rg.read_group_sm_conditional.do_auto_name,parameters.rg.rg_selector,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-28 16:59:34.051269,slurm_multi_dynamic_walltime,,42025799813,fastqsanger,,,main_w2_handler2,2562657,11961785,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6195049,slurm,,corral-repl,,0,no,,,4,,3,11,30,1,full,10,-1,5,2,16500,2000000,0.02,2,0,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,2,,,1.0,do_not_set,23537767.0,,,,single,0,,hg19,,cached,European Nucleotide Archive - project accession no. PRJEB1195,,,,,,,ILLUMINA,,1,0.0,True,0.0,True,0.0,True,set,,,,28565641,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-01 05:00:57.352587,76234,129683.30131800001
2016-03-01 22:21:14.540661,slurm_multi_dynamic_walltime,,34534422695,fastqsanger,,,main_w2_handler2,2562657,11982724,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6214444,slurm,,corral-repl,,0,no,,,4,,3,11,30,1,full,10,-1,5,2,16500,2000000,0.02,2,0,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,2,,,1.0,do_not_set,23570495.0,,,,single,0,,hg19,,cached,"Beckman Coulter Genomics, Danvers, MA",European Nucleotide Archive - project accession no. PRJEB1195,,,,,,ILLUMINA,,1,0.0,True,0.0,True,0.0,True,set,,,,28565641,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-03 10:22:09.764315,76234,129655.223654
2016-03-04 01:46:33.876813,slurm_multi_dynamic_walltime,,34534422695,fastqsanger,,,main_w2_handler2,2562657,12016103,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6245122,slurm,,corral-repl,,0,no,,,4,,3,11,30,1,full,10,-1,5,2,1650,2000000,0.02,2,0,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,2,,,1.0,do_not_set,23642532.0,,,,single,0,,hg19,,cached,,,,,,,,,,3,,,,,,,do_not_set,,,,28565641,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-05 13:47:24.760123,76234,129650.88331
2016-03-06 16:52:20.619657,slurm_multi_dynamic_walltime,,34534422695,fastqsanger,,,main_w2_handler2,2562657,12042199,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6269350,slurm,,corral-repl,,1,yes,slurm_multi,,4,,3,11,30,1,full,10,-1,5,2,1024,2000000,0.02,2,0,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,2,,,1.0,do_not_set,23570495.0,,,,single,0,,hg19,,cached,,,,,,,,,,3,,,,,,,do_not_set,,,,28565641,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-08 04:54:08.891164,76234,129708.27150700001
2016-03-23 07:26:37.568132,slurm_multi_dynamic_walltime,,17524807540,fastqsanger,12054872666.0,fastqsanger,main_w2_handler2,2642522,12232782,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6447208,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,23975066.0,,23975198.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-24 19:27:27.995903,81152,129650.427771
2016-03-23 07:26:37.087325,slurm_multi_dynamic_walltime,,14983257930,fastqsanger,10320691882.0,fastqsanger,main_w2_handler2,2642522,12232781,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6447207,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,23975064.0,,23975065.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-24 19:27:28.300030,81152,129651.21270500001
2016-03-23 07:26:38.088174,slurm_multi_dynamic_walltime,,12945093073,fastqsanger,9024696885.0,fastqsanger,main_w2_handler2,2642522,12232783,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6447211,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,23977862.0,,23983379.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-24 19:28:06.865273,81152,129688.77709900001
2016-03-26 22:13:59.508967,slurm_multi_dynamic_walltime,,14983257930,fastqsanger,10320691882.0,fastqsanger,main_w2_handler2,2642522,12258243,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6470492,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,23975064.0,,23975065.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-03-29 18:39:58.368999,81152,246358.86003200003
2016-03-31 00:36:13.318526,slurm_multi_dynamic_walltime,,14983257930,fastqsanger,10320691882.0,fastqsanger,main_w2_handler2,2642522,12291375,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6496229,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,23975064.0,,23975065.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-04-01 12:36:40.205128,81152,129626.88660200001
2016-04-03 11:49:09.150486,slurm_multi_dynamic_walltime,,7261676389,fastqsanger,5178156047.0,fastqsanger,main_w2_handler2,2642522,12324920,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6531631,slurm,,corral-repl,,0,no,,,,,,,,0,illumina,,,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,1.0,do_not_set,,,24122830.0,,24122831.0,,paired,0,,hg38,,cached,,,,,,,,,,2,,,,,,,set_id_auto,,,,29134364,error,toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1,0.7.12.1,,2016-04-04 23:49:57.737283,81152,129648.58679700001
