bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2101282987,bam,2016-12-07 23:15:15.836560,slurm_multi,,main_w3_handler2,2920521,14510236,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8694091,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 27531554}]","""10""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""chr2:153,150,991-153,473,815""",2,1.0,,2150570000,1.0,1x,,34702238,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2016-12-09 17:57:59.004581,81601,153763.16802100002
320835882,bam,2017-01-26 17:07:16.040872,slurm_multi,,main_w4_handler2,2968105,14880308,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9055267,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28095307}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-01-29 17:29:35.636821,17286,260539.595949
188542196,bam,2017-01-31 22:24:41.135917,slurm_multi,,main_w4_handler2,2976852,14918452,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9076939,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28158526}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-02 21:35:43.353832,17286,169862.21791500002
204450599,bam,2017-01-26 17:07:17.071346,slurm_multi,,main_w4_handler2,2968105,14880310,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9065222,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28095455}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-01 09:33:59.548142,17286,491202.47679600003
182317876,bam,2017-01-31 22:24:41.514734,slurm_multi,,main_w4_handler2,2976852,14918453,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9107179,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28158527}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-05 21:44:07.190599,17286,429565.67586500006
181856140,bam,2017-01-31 22:24:41.857187,slurm_multi,,main_w4_handler2,2976852,14918454,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9126989,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28158529}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-08 21:52:00.855336,17286,689238.998149
999195097,bam,2017-02-08 21:50:59.582855,slurm_multi,,main_w4_handler2,2852306,14989472,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9146820,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 28251222}]","""1""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,,35800419,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-10 09:52:25.862278,82005,129686.27942300001
259596975,bam,2017-01-31 22:24:43.142120,slurm_multi,,main_w4_handler2,2976852,14918457,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9158955,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28158533}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,0.0,3100000000,specific,1.0,1x,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-11 21:58:04.960100,17286,948801.81798
5636516108,bam,2017-02-15 19:33:32.232154,reserved_multi,,main_w4_handler2,2997129,15049938,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9205508.roundup,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 28370681}]","""10""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,,34652796,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-17 07:37:49.713896,5254,129857.481742
5636516108,bam,2017-02-15 19:31:40.394174,reserved_multi,,main_w3_handler2,2997129,15049923,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9205490.roundup,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 28370546}]","""10""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",0,,,,1.0,rpkm,,34652796,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-02-17 07:35:50.079944,5254,129849.68577000001
