chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-11-02 19:38:43.743790,slurm_normal,,main_w3_handler0,2871876,14236126,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42880644330,fastqsanger,8445022.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5965853a2dd0fbd8e'}]",,33947225,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-11-04 08:33:11.834202,74690,132868.09041200002
22348.0,len,2016-11-04 20:42:29.114900,slurm_normal,,main_w3_handler0,2871876,14256720,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",42880644330,fastqsanger,8464840.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/017/709/dataset_17709438.dat""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5965853a2dd0fbd8e'}]",,33947225,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-11-07 01:32:48.683033,74690,190219.56813300002
,,2016-12-28 00:52:16.391109,slurm_normal,,main_w3_handler1,2940604,14654742,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7028087454,fastqsanger,8828337.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27756248}]",,35056819,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-12-29 12:52:41.748288,34206,129625.35717900001
,,2016-12-28 00:52:32.947567,slurm_normal,,main_w3_handler0,2940604,14654744,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6111368266,fastqsanger,8828351.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27756249}]",,35056819,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-12-29 12:53:41.521384,34206,129668.57381700001
,,2016-12-28 00:51:35.259611,slurm_normal,,main_w3_handler1,2940604,14654738,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7701184498,fastqsanger,8828333.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27756247}]",,35056819,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-12-29 12:51:41.566497,34206,129606.306886
,,2016-12-28 00:48:55.040550,slurm_normal,,main_w4_handler1,2940604,14654735,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6140591676,fastqsanger,8828328.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27756243}]",,35056819,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2016-12-29 12:49:11.405434,34206,129616.36488400001
,,2017-03-15 11:22:31.703180,slurm_normal,,main_w3_handler0,3030488,15301052,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",162060903,fastqsanger,9441809.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28761683}]",,36631030,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2017-03-16 23:23:02.264168,101974,129630.56098800001
,,2017-07-26 08:10:37.820347,slurm_normal,,main_w4_handler1,3180757,16420938,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17871445388,fastqsanger,10486630.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30616360}]",,39079209,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2017-07-27 20:14:48.804981,107272,129850.98463400001
41377.0,len,2017-08-27 21:33:16.013883,slurm_normal,,main_w4_handler1,1847380,16669369,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",22196873474,fastqsanger,10741596.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/015/880/dataset_15880151.dat""","""?""","[{'src': 'hda', 'id': 31009440}]",,40104354,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2017-08-29 09:33:38.100620,46747,129622.086737
41377.0,len,2017-08-27 21:33:25.378924,slurm_normal,,main_w3_handler1,1847380,16669370,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15921897870,fastqsanger,10741597.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/015/880/dataset_15880151.dat""","""?""","[{'src': 'hda', 'id': 31009468}]",,40104354,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.0.0,1.0.0,,2017-08-29 09:33:38.755943,46747,129613.377019
