bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.fragmentLength,parameters.image_format,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
501369417,bam,2016-11-22 01:16:38.198225,slurm_multi,,main_w4_handler2,2782063,14400577,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,8605554,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d76b7aba42f091be'}]","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",2,,2451960000,"""300""","""png""","""""",0,,galGal4,cached,,34361635,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-23 13:19:28.839839,19390,129770.64161400001
501369417,bam,2016-11-22 01:16:53.084309,slurm_multi,,main_w3_handler2,2782063,14400578,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,8619273,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d76b7aba42f091be'}]","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",2,,2451960000,"""300""","""png""","""""",0,,galGal4,cached,,34361635,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-25 01:26:10.218173,19390,259757.133864
501369417,bam,2016-11-22 01:17:08.861863,slurm_multi,,main_w4_handler2,2782063,14400580,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,8619268,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d76b7aba42f091be'}]","""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",2,,2451960000,"""300""","""png""","""""",0,,galGal4,cached,,34361635,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2016-11-25 01:25:10.656559,19390,259681.79469600003
998490215,bam,2017-01-05 17:55:16.868092,slurm_multi,,main_w3_handler2,2946940,14697825,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",751008910.0,twobit,8868364,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 27823817}]","""/cvmfs/data.galaxyproject.org/managed/len/rn6.len""","""rn6""",0,2870000000,specific,"""300""","""png""","""""",1,"[{'src': 'hda', 'id': 27824543}]",,history,,35170344,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-01-07 06:20:26.037684,17286,131109.16959200002
111895558,bam,2017-02-01 04:27:43.374444,slurm_multi,,main_w3_handler2,2804944,14920236,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3398805722.0,twobit,9075947,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28124894}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""300""","""pdf""","""""",1,"[{'src': 'hda', 'id': 28153090}]",,history,,35598654,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-02-02 16:40:11.797188,89189,130348.42274400001
486550191,bam,2017-02-06 10:11:43.499910,slurm_multi,,main_w3_handler2,2971178,14958787,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,9116436,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 28119163}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,,2451960000,"""300""","""pdf""","""""",0,,hg38,cached,,35624132,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-02-07 22:27:55.143987,11700,130571.644077
111895558,bam,2017-02-09 04:10:59.013007,slurm_multi,,main_w3_handler2,2804944,14991749,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3398805722.0,twobit,9148678,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28124894}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""300""","""pdf""","""""",1,"[{'src': 'hda', 'id': 28153087}]",,history,,34745055,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-02-10 16:12:58.526177,89189,129719.51317
3876278293,bam,2017-03-31 11:56:31.850316,slurm_multi,,main_w4_handler2,2388324,15444696,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,9578636,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 27634074}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",2,,2451960000,"""300""","""png""","""""",0,,hg38,cached,,36682812,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-04-02 02:37:26.353706,64160,139254.50339
71712674,bam,2017-02-17 19:13:26.635613,slurm_multi,,main_w4_handler2,2804944,15070175,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3398805722.0,twobit,9225414,slurm,,corral-repl,,0,no,0.0,no,"[{'src': 'hda', 'id': 28403852}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""300""","""pdf""","""""",1,"[{'src': 'hda', 'id': 28153087}]",,history,,35980406,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-02-19 07:16:34.522917,89189,129787.887304
111895558,bam,2017-02-26 07:52:37.045014,slurm_multi,,main_w3_handler2,2804944,15145611,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3398805722.0,twobit,9298166,slurm,,corral-repl,,0,no,,,"[{'src': 'hda', 'id': 28124894}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",2,,2451960000,"""300""","""pdf""","""""",1,"[{'src': 'hda', 'id': 28153087}]",,history,,36288576,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.3.6.0,2.3.6.0,,2017-02-27 19:54:36.569806,89189,129719.52479200001
