create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.mode_select,parameters.mode.regionBodyLength,parameters.mode.regionStartLength.__current_case__,parameters.mode.regionStartLength.regionStartLength_select,parameters.output.__current_case__,parameters.output.showOutputSettings,parameters.regionsFiles,parameters.scoreFileName.values,regionsFiles_0|regionsFile,regionsFiles_0|regionsFile_filetype,runner_name,scoreFileName,scoreFileName1,scoreFileName1_filetype,scoreFileName2,scoreFileName2_filetype,scoreFileName3,scoreFileName3_filetype,scoreFileName_filetype,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-20 13:53:13.962945,slurm_multi,,main_w3_handler2,2834886,14130760,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8345142,slurm,,corral-repl,,0,no,0,no,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,scale-regions,500,0,no,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b52481c5c7f3f21ff3""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b55da52ec834b77bed'}, {'src': 'hda', 'id': 'bbd44e69cb8906b524fdc5a0c475c0db'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5214d50fa54e2439c'}]",85704784,bed,,470228,470228,bigwig,465735.0,bigwig,466747.0,bigwig,bigwig,33818304,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-22 01:58:57.493875,69870,129943.53093000001
2016-10-20 14:16:37.847098,slurm_multi,,main_w3_handler2,2834886,14131056,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8358402,slurm,,corral-repl,,0,no,0,no,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,scale-regions,500,0,no,0,no,"[{""__index__"": 0, ""regionsFile"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b52481c5c7f3f21ff3""}]}}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b8ba2b72a4f567b3'}]",85704784,bed,,49124050,49124050,bigwig,,,,,bigwig,33818304,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.3.5.0,2.3.5.0,,2016-10-23 14:02:33.905860,69870,258356.05876200003
