create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.do_search,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile,parameters.singlePaired.__current_case__,parameters.singlePaired.input1,parameters.singlePaired.input2,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-22 14:18:11.869500,roundup_multi,,main_w2_handler2,2245046,9006711,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9063593432,fastqsanger,9063593432.0,fastqsanger,3276320,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,1,18948563,18948942.0,300,20,Yes,paired,,21950538,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-24 02:18:53.652026,61262,129641.78252600001
2015-03-23 14:08:50.970680,roundup_multi,,main_w2_handler2,2236041,9013940,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7468127790,fastqsanger,,,3289930,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,0,18842654,,,,,single,,21519158,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-25 02:09:24.895569,60378,129633.924889
2015-03-23 21:17:40.273243,roundup_multi,,main_w2_handler2,2242308,9018778,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10047054278,fastqsanger,,,3299364,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38,,0,18933480,,,,,single,,21902851,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-25 09:18:21.630922,61118,129641.35767900001
2015-03-23 21:17:09.392912,roundup_multi,,main_w2_handler2,2242308,9018769,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6278328468,fastqsanger,,,3299350,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38,,0,18933482,,,,,single,,21902851,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-25 09:17:52.081926,61118,129642.689014
2015-03-24 06:12:49.429504,roundup_multi,,main_w2_handler2,2001319,9021088,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",48838189141,fastqsanger,48838189141.0,fastqsanger,3303714,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,1,18947193,18943879.0,300,20,No,paired,,21987561,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-25 18:13:22.496180,51767,129633.066676
2015-03-21 19:25:42.736221,roundup_multi,,main_w2_handler2,2242308,9003629,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10047054278,fastqsanger,,,3270337,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38,,0,18933480,,,,,single,,21902851,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-23 07:26:14.494312,61118,129631.75809100001
2015-03-21 19:25:22.311940,roundup_multi,,main_w2_handler2,2242308,9003627,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6278328468,fastqsanger,,,3270334,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg38,,0,18933482,,,,,single,,21902851,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-23 07:26:14.876462,61118,129652.56452200002
2015-03-25 14:26:04.851143,roundup_multi,,main_w2_handler2,2236041,9033561,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7468127790,fastqsanger,,,3318914,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,0,18842654,,,,,single,,21519158,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-27 02:26:25.202934,60378,129620.35179100001
2015-03-27 15:53:34.956192,roundup_multi,,main_w2_handler2,2236041,9064462,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7468127790,fastqsanger,,,3347352,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,0,18842654,,,,,single,,21519158,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-03-29 04:33:04.306528,60378,131969.350336
2015-04-10 18:57:19.889097,slurm_multi,,main_w2_handler2,2262981,9197645,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",21001015916,fastqsanger,21001015916.0,fastqsanger,3479106,slurm,,corral-repl,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,8,0.0,No,No,0.0,20000,50,Yes,0.0,No,1.0,Yes,3,3,fr-unstranded,500000,1,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm9,,1,19199776,19199776.0,250,25,Yes,paired,,22354782,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-12 12:47:33.151256,16722,150613.262159
