chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input2,parameters.max_ident,parameters.min_cvrg,parameters.min_ident,parameters.out_format,parameters.params.E,parameters.params.K,parameters.params.L,parameters.params.O,parameters.params.X,parameters.params.Y,parameters.params.__current_case__,parameters.params.chain,parameters.params.entropy,parameters.params.gfextend,parameters.params.pre_set_options,parameters.params.seed,parameters.params.source_select,parameters.params.strand,parameters.params.transition,parameters.seq_name.__current_case__,parameters.seq_name.how_to_name,parameters.seq_name.ref_name,parameters.source.__current_case__,parameters.source.input1,parameters.source.input1_2bit,parameters.source.ref_source,parameters.unmask,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-23 10:00:42.977182,roundup_multi,,main_w2_handler2,1613381,9011854,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",480427.0,fasta,2247316,fasta,3286123,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18957634,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18957633.0,,history,"""yes""",,21963499,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-24 22:01:17.742545,39367.0,129634.76536300001
,,2015-03-23 15:06:10.511346,roundup_multi,,main_w2_handler2,2239373,9014686,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,328306927,fasta,3291262,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18960187,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,0,,hg38,cached,"""yes""",,21852343,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-25 03:06:54.679604,60951.0,129644.168258
36.0,len,2015-04-01 11:06:46.185198,roundup_multi,,main_w2_handler2,2253676,9112598,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",52819975.0,fasta,52819975,fasta,3398159,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/main/files/010/864/dataset_10864129.dat""","""?""",19102238,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,1,19102238.0,,history,"""yes""",,22110624,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-04-02 23:07:38.903230,61652.0,129652.718032
,,2015-04-08 20:00:54.040689,slurm_multi,,main_w2_handler2,2264019,9174415,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",194966.0,fasta,27590145,fasta,3453933,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19197845,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,19197929.0,,history,"""yes""",,21620333,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-04-10 11:30:56.453758,33225.0,142202.413069
,,2015-04-08 20:01:55.390572,slurm_multi,,main_w2_handler2,2264019,9174421,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",194966.0,fasta,27590145,fasta,3455260,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19197845,"""93""","""70""","""70""","""tabular""",30,500,500,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,19197929.0,,history,"""yes""",,21620333,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-04-10 13:55:57.502566,33225.0,150842.111994
,,2015-04-10 20:44:58.381806,slurm_multi,,main_w2_handler2,2264019,9198276,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",194966.0,fasta,3073816,fasta,3479774,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19233001,"""100""","""94""","""94""","""tabular""",30,1000,1000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,notransition,1,no,,1,19197929.0,,history,"""yes""",,21510894,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-04-12 13:55:02.073849,33225.0,148203.69204300002
,,2015-04-15 18:03:38.392249,slurm_multi,,main_w2_handler2,2191967,9239727,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2291764534.0,fasta,101,fasta,3520337,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19246920,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,1,19143646.0,,history,"""yes""",,22430817,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-04-17 06:04:22.138190,53265.0,129643.745941
,,2015-10-09 16:39:37.288841,reserved_multi,,main_w2_handler2,2466187,10536996,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",780202944.0,fasta,1672335,fasta,4811052.roundup,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21458349,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,21458342.0,,history,"""yes""",,25535775,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-10-11 04:40:32.795622,5254.0,129655.506781
,,2015-10-09 16:44:05.903286,reserved_multi,,main_w2_handler2,2466187,10537016,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",759496563.0,fasta,1672335,fasta,4811088.roundup,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21458349,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,21458382.0,,history,"""yes""",,25535775,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-10-11 04:45:32.221467,5254.0,129686.31818100001
,,2015-10-09 16:44:57.432931,reserved_multi,,main_w2_handler2,2466187,10537022,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",772051165.0,fasta,1672335,fasta,4811098.roundup,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21458349,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,21458388.0,,history,"""yes""",,25535775,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-10-11 04:46:32.340864,5254.0,129694.90793300001
,,2015-01-10 14:31:27.242002,roundup_multi,,main_w2_handler2,2169664,8525534,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",160489340.0,fasta,194520,fasta,2447879,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18174667,"""100""","""90""","""0""","""tabular""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18174093.0,,history,"""yes""",,20400111,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-01-12 02:32:18.995002,20643.0,129651.75300000001
,,2015-03-09 11:29:31.426534,roundup_multi,,main_w2_handler2,2203901,8895312,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,606637387,fasta,3068136,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18786016,"""100""","""0""","""0""","""diffs""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,21659280,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-10 23:29:58.562309,55954.0,129627.135775
,,2015-03-09 11:35:03.829273,roundup_multi,,main_w2_handler2,2203901,8895335,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,605986455,fasta,3068219,slurm,,corral-repl,,0.0,no,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18786017,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,21659280,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-03-10 23:35:33.230444,55954.0,129629.401171
,,2014-01-31 16:37:31.613854,slurm_8threads,,main_w2_handler2,1789344,6441314,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,22567905,fasta,471643,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14262302,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,Homo_sapiens_nuHg19_mtrCRS,cached,"""yes""",,13109705,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-03 00:54:56.406008,,202644.79215400002
,,2014-02-01 20:55:40.198203,slurm_8threads,,main_w2_handler2,1789344,6445861,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,22567905,fasta,476080,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14262302,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,13114533,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-04 01:45:54.450909,654.0,190214.252706
,,2014-02-01 22:46:09.963195,slurm_8threads,,main_w2_handler2,1784838,6446190,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,562018676,fasta,476863,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14293545,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,13130553,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-04 04:04:21.235710,38098.0,191891.27251500002
,,2014-02-10 16:29:21.123700,slurm_8threads,,main_w2_handler2,671899,6493711,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,17479169,fasta,524764,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/tupBel1.len""","""tupBel1""",14499158,"""100""","""0""","""95""","""tabular""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,tupBel1,cached,"""yes""",,13186607,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-12 16:50:27.451482,4103.0,174066.327782
,,2014-02-11 17:37:06.906567,slurm_8threads,,main_w2_handler2,1560076,6500201,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",29278320.0,fasta,29278320,fasta,531159,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14523757,"""100""","""0""","""0""","""tabular""",30,3000,3000,400,910,9370,1,nochain,noentropy,nogfextend,,14of22,full,both,notransition,1,no,,1,14523757.0,,history,"""yes""",,13283621,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-13 17:47:29.744713,28313.0,173422.83814600002
,,2014-02-07 14:40:32.361397,slurm_8threads,,main_w2_handler2,1796181,6479737,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,8455,fasta,510394,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14426424,"""100""","""0""","""90""","""sam""",30,3000,3000,400,910,9370,1,nochain,noentropy,nogfextend,,12of19,full,both,transition,1,no,,0,,AaegL1,cached,"""yes""",,13166180,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-09 14:50:54.463047,22334.0,173422.10165
,,2014-02-05 19:43:10.798603,slurm_8threads,,main_w2_handler2,1764584,6467854,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",28488732.0,fasta,45420,fasta,498682,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14386009,"""100""","""90""","""90""","""tabular""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,1,14380173.0,,history,"""yes""",,13169908,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-07 21:11:55.253296,4969.0,178124.454693
,,2014-02-19 00:54:44.605090,slurm_multi,,main_w2_handler2,1286080,6542137,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,288028883,fasta,572879,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/mm10.len""","""mm10""",14695431,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,mm10,cached,"""yes""",,13397004,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-21 05:21:57.964921,30481.0,188833.359831
,,2014-02-19 00:37:35.993809,slurm_multi,,main_w2_handler2,1286080,6542095,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,288028883,fasta,572828,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/mm10.len""","""mm10""",14695431,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,mm10,cached,"""yes""",,13397004,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-21 04:14:47.272095,30481.0,185831.27828600002
,,2014-02-17 13:38:44.069995,slurm_multi,,main_w2_handler2,1808669,6530878,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,28890,fasta,561613,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14659735,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,13277914,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-19 13:49:18.949126,45016.0,173434.87913100002
,,2014-02-18 04:21:40.114779,slurm_multi,,main_w2_handler2,1698784,6536288,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,418775827,fasta,567089,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/anoGam1.len""","""anoGam1""",14678773,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,AaegL1,cached,"""yes""",,12058172,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-20 04:31:58.299063,29975.0,173418.18428400002
,,2014-02-22 02:03:07.585067,slurm_multi,,main_w2_handler2,1812154,6571494,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,290353160,fasta,601058,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14739016,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra95short,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,13443483,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-24 06:40:09.119963,45373.0,189421.534896
,,2014-02-25 15:19:47.433958,slurm_multi,,main_w2_handler2,274042,6589023,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,82920013,fasta,619404,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",13169410,"""100""","""0""","""30""","""diffs""",,,,,,,0,,,,yasra90,,pre_set,,,1,no,,0,,/galaxy/data/hg19/seq/hg19.2bit,cached,"""yes""",,13541940,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-02-27 18:12:43.131262,1514.0,183175.697304
,,2014-02-27 23:16:59.963830,slurm_multi,,main_w2_handler2,1821150,6604509,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,329738589,fasta,634003,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/?.len""","""?""",14815397,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,0,,Zea_mays_B73_RefGen_v2,cached,"""yes""",,13574761,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-03-02 13:40:23.276740,45724.0,224603.31291
,,2014-03-03 09:51:33.469764,slurm_multi,,main_w2_handler2,1820555,6617612,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",194143.0,fasta,12828667,fasta,645850,slurm,,corral-repl,,,,,,"""/galaxy/data/chrom/hg19.len""","""hg19""",14841268,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,1,14841414.0,,history,"""yes""",,13566388,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-03-05 12:33:01.828744,45705.0,182488.35898000002
,,2014-07-21 16:55:23.742226,slurm_multi,,main_w2_handler2,1986785,7317850,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",66931379.0,fasta,30205514,fasta,1329889,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/eschColi_K12.len""","""eschColi_K12""",16139999,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,16139997.0,,history,"""yes""",,15871967,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-07-24 08:02:43.256411,51406.0,227239.514185
,,2015-02-06 20:05:40.047279,roundup_multi,,main_w2_handler2,2197840,8678194,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2927679256.0,fasta,435,fasta,2670510,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""",18435629,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,18435174.0,,history,"""yes""",,21064625,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2015-02-08 08:06:00.349741,,129620.302462
,,2014-07-28 11:45:49.347920,slurm_multi,,main_w2_handler2,1993507,7355820,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8146.0,fasta,141080867,fasta,1360869,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16186438,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra90,,pre_set,,,1,no,,1,16186452.0,,history,"""yes""",,15937001,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-07-30 11:56:30.938983,,173441.591063
,,2014-07-31 17:35:25.824155,slurm_multi,,main_w2_handler2,2000157,7375238,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4185580.0,fasta,448158,fasta,1378462,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16232016,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra75,,pre_set,,,1,no,,1,16231783.0,,history,"""yes""",,16014225,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-03 00:12:45.495503,50489.0,196639.671348
,,2014-07-31 12:44:22.605932,slurm_multi,,main_w2_handler2,1978001,7373513,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3106358.0,fasta,223290117,fasta,1377165,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16231217,"""100""","""0""","""90""","""tabular""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,1,16231214.0,,history,"""yes""",,16010620,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-02 16:58:42.711775,42275.0,188060.105843
,,2014-07-31 12:44:37.232528,slurm_multi,,main_w2_handler2,1978001,7373514,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3106358.0,fasta,221644390,fasta,1377166,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16231216,"""100""","""0""","""90""","""tabular""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,1,16231214.0,,history,"""yes""",,16010620,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-02 16:59:44.255575,42275.0,188107.02304700002
,,2014-09-11 15:36:50.719120,roundup_multi,,main_w2_handler2,1613321,7698540,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",41632630.0,fasta,11316254859,fasta,1685107,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",15682648,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,16726509.0,,history,"""yes""",,16873659,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-14 04:36:59.940631,23229.0,219609.221511
,,2014-08-03 16:38:13.996046,slurm_multi,,main_w2_handler2,2000157,7386406,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4185580.0,fasta,448158,fasta,1389976,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16232016,"""100""","""0""","""0""","""tabular""",,,,,,,0,,,,yasra85,,pre_set,,,1,no,,1,16231783.0,,history,"""yes""",,16047708,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-05 17:51:37.404521,50489.0,177203.408475
,,2014-08-07 06:45:37.632456,slurm_multi,,main_w2_handler2,1985587,7406899,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",169002496.0,fasta,1298210212,fasta,1409499,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16229371,"""100""","""50""","""0""","""sam""",,,,,,,0,,,,yasra85short,,pre_set,,,1,no,,1,16244417.0,,history,"""yes""",,16023489,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-09 11:13:15.662549,51385.0,188858.030093
,,2014-08-28 13:00:50.609547,slurm_multi,,main_w2_handler2,2029597,7511745,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4185580.0,fasta,440540,fasta,1515949,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16450572,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,16450576.0,,history,"""yes""",,16499203,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-31 10:13:04.013758,50489.0,249133.40421100002
,,2014-08-28 13:00:35.203745,slurm_multi,,main_w2_handler2,2029597,7511744,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4185580.0,fasta,423056,fasta,1515933,slurm,,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16450580,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,16450576.0,,history,"""yes""",,16499203,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-08-31 09:40:28.293782,50489.0,247193.09003700002
,,2014-09-02 14:45:05.976874,slurm_multi,,main_w2_handler2,1822420,7551014,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",408777264.0,fasta,185674000,fasta,1548425,slurm,,corral-repl,,,,,,"""/galaxy-repl/main/files/006/866/dataset_6866552.dat""","""fire_ants""",16507933,"""100""","""0""","""0""","""sam""",,,,,,,0,,,,yasra98,,pre_set,,,1,no,,1,14900985.0,,history,"""yes""",,16602067,error,toolshed.g2.bx.psu.edu/repos/devteam/lastz/lastz_wrapper_2/1.2.2,1.2.2,,2014-09-04 21:57:56.053701,39755.0,198770.076827
