create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_1,input_1_filetype,input_2,input_2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.library.__current_case__,parameters.library.input_1,parameters.library.input_2,parameters.library.max_insert,parameters.library.min_insert,parameters.library.type,parameters.params.__current_case__,parameters.params.align_type,parameters.params.full,parameters.params.gbar,parameters.params.nofw_norc,parameters.params.performance,parameters.params.skip,parameters.params.time,parameters.params.trim3,parameters.params.trim5,parameters.params.upto,parameters.read_group.__current_case__,parameters.read_group.selection,parameters.reference_genome.__current_case__,parameters.reference_genome.index,parameters.reference_genome.source,parameters.unaligned_file,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-09-26 13:52:06.356091,roundup_single_development,,main_w2_handler2,2061996,7868343,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3163883886,fastqsanger,3163795059,fastqsanger,1849344,slurm,,corral-repl,,1,yes,roundup_single_development,"""/galaxy-repl/localdata/chrom/apiMel3.len""","""apiMel3""",1,17023352,17023353,250,0,paired,0,,yes,4,,--sensitive,0,,0,0,0,1,no,0,apiMel3,indexed,"""False""",,16778163,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2,0.2,,2014-09-26 14:44:51.522640,52740,3165.166549
2014-09-26 14:45:16.275228,roundup_single_development,,main_w2_handler2,2061996,7869455,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3163883886,fastqsanger,3163795059,fastqsanger,1849457,slurm,,corral-repl,,1,yes,roundup_single_development,"""/galaxy-repl/localdata/chrom/apiMel3.len""","""apiMel3""",1,17023352,17023353,250,0,paired,0,,yes,4,,--sensitive,0,--time,0,0,0,1,no,0,apiMel3,indexed,"""False""",,16778163,error,toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2,0.2,,2014-09-26 15:15:53.508603,52740,1837.233375
