bamfiles,bamfiles1,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.region,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
141909432,141909432,bam,,,bam,2016-04-06 10:59:23.568416,slurm_normal,,main_w1_handler0,2658014,12352394,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6556933.roundup,slurm,,corral-repl,,1,False,0,no,False,1,2725537669,SplenB_plotCoverage,,,,yes,False,"""24149145""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""png""","""True""",,27435633,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-07 22:59:59.072121,68374,129635.50370500001
5370063298,5370063298,bam,4304242861.0,bam,bam,2016-04-12 03:40:25.879537,slurm_normal,,main_w1_handler2,2636780,12425831,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6626251.roundup,slurm,,corral-repl,,1,False,1,yes,False,1,100000000000000,Sequencing depth,,,,yes,False,"""24236310,24236333""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""svg""","""False""",,29253200,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.2.2.0,2.2.2.0,,2016-04-13 15:41:21.317003,62982,129655.437466
