create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.filterList,parameters.input1,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-02 13:45:43.936385,slurm_normal,,main_w1_handler2,2585939,11680981,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1296713098,vcf,5934003.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/720/dataset_12720835.dat""","""v3""","""-f \""AF > 0.05\""""",23138001,,27516249,error,toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2/0.0.3,0.0.3,,2016-02-04 01:46:39.295365,42165,129655.35898
2016-01-27 10:00:32.631829,slurm_normal,,main_w1_handler1,2568668,11613267,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1430379006,vcf,5877898.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""-f \""AF > 0.04\""""",23054363,,27516249,error,toolshed.g2.bx.psu.edu/repos/devteam/vcffilter/vcffilter2/0.0.3,0.0.3,,2016-01-28 22:01:26.623575,42165,129653.99174600001
