bigwigfiles,bigwigfiles1,bigwigfiles1_filetype,bigwigfiles2,bigwigfiles2_filetype,bigwigfiles3,bigwigfiles3_filetype,bigwigfiles4,bigwigfiles4_filetype,bigwigfiles_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.chromInfo,parameters.dbkey,parameters.mode.__current_case__,parameters.mode.binSize,parameters.mode.distanceBetweenBins,parameters.mode.modeOpt,parameters.multibigwig_conditional.__current_case__,parameters.multibigwig_conditional.bigwigfiles.values,parameters.multibigwig_conditional.orderMatters,parameters.outRawCounts,parameters.region,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
236345509,236345509,bigwig,186288990,bigwig,131930129.0,bigwig,106837469.0,bigwig,bigwig,2018-01-15 02:16:18.940608,slurm_multi,,main_w3_handler2,1971744,18034559,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12111656,slurm,,corral-repl,,0,no,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,10000,0,bins,0,"[{'src': 'hda', 'id': 33276305}, {'src': 'hda', 'id': 33311804}, {'src': 'hda', 'id': 33311807}, {'src': 'hda', 'id': 33311809}]",No,"""false""","""""",,43151957,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.5.0.0,2.5.0.0,,2018-01-16 14:16:31.855499,51003,129612.91489100001
183357759,183357759,bigwig,236345509,bigwig,,,,,bigwig,2018-01-16 04:27:46.846257,slurm_multi,,main_w4_handler2,3388240,18044263,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12121679,slurm,,corral-repl,,0,no,0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",0,10000,0,bins,0,"[{'src': 'hda', 'id': 33270895}, {'src': 'hda', 'id': 33270906}]",No,"""true""","""""",,43212435,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/2.5.0.0,2.5.0.0,,2018-01-17 16:28:08.440885,9133,129621.594628
