create_time,destination_id,exit_code,handler,history_id,id,imported,info,inputFile,inputFile1,inputFile1_filetype,inputFile2,inputFile2_filetype,inputFile3,inputFile3_filetype,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.assume_sorted,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.inputFile,parameters.merge_sequence_dictionaries,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-15 16:36:37.583680,slurm_normal_16gb,,main_w1_handler1,2471878,10585346,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3180478898,3180478898,bam,2760293148,bam,6140962031,bam,bam,4855373.roundup,slurm,,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/papHam.len""",[],"""papHam""","""21527186,21527192,21539261""","""True""","""LENIENT""",,25708341,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/1.126.0,1.126.0,,2015-10-16 16:37:20.755984,71280,86443.172304
2016-04-05 14:09:21.066042,slurm_normal_16gb,,main_w2_handler0,2655572,12343792,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10363838,10363838,bam,17695699,bam,15284325,bam,bam,6549104.roundup,slurm,,corral-repl,,,"""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""24118114,24118117,24118122""","""True""","""LENIENT""",,29352535,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/1.126.0,1.126.0,,2016-04-06 14:10:31.280906,80585,86470.21486400001
2016-04-02 20:12:11.465182,slurm_normal_16gb,,main_w1_handler2,2655572,12321620,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10485745,10485745,bam,17925784,bam,15444245,bam,bam,6529281.roundup,slurm,,corral-repl,,"""26c10adcf90f11e592cd005056a51846""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""","""24118123,24118124,24118125""","""True""","""LENIENT""",,29352535,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_MergeSamFiles/1.126.0,1.126.0,,2016-04-03 22:21:52.215629,80585,94180.75044700001
