create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gap,parameters.input1.values,parameters.match,parameters.maxrepeat,parameters.mismatch,parameters.threshold,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-08 07:37:35.210612,slurm_normal,,main_w4_handler1,3449094,18652603,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",322954620,fasta,12748396,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""12""","[{'src': 'hda', 'id': 34165370}]","""3""","""2000""","""-4""","""50""",,43622766,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2018-03-09 19:37:52.679449,119480,129617.46883700001
2018-03-08 07:37:34.126853,slurm_normal,,main_w4_handler0,3449094,18652601,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",318455842,fasta,12748395,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""12""","[{'src': 'hda', 'id': 34165368}]","""3""","""2000""","""-4""","""50""",,43622766,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: einverted28/5.0.0,5.0.0,,2018-03-09 19:37:53.741925,119480,129619.61507200002
