create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.chromInfo,parameters.dbkey,parameters.do_normalization,parameters.effective_length_correction,parameters.input,parameters.max_intron_len,parameters.min_isoform_fraction,parameters.multiread_correct,parameters.pre_mrna_fraction,parameters.reference_annotation.__current_case__,parameters.reference_annotation.reference_annotation_file,parameters.reference_annotation.reference_annotation_guide_file,parameters.reference_annotation.use_ref,ref_file,ref_file_filetype,reference_annotation_file,reference_annotation_file_filetype,reference_annotation_guide_file,reference_annotation_guide_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-22 16:45:43.887094,slurm_multi,,main_w2_handler2,2278435,9301413,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1524924263,bam,3633284,slurm,,corral-repl,,0.0,no,,,1,No,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""No""","""""",19419333,"""300000""","""0.1""","""No""","""0.15""",2,,19419773.0,Use reference annotation guide,,,,,732492530.0,gtf,,22643773.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-04-24 22:16:38.225030,46083,192654.33793600003
2015-04-22 17:20:06.753370,slurm_multi,,main_w2_handler2,2278435,9301729,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",960493529,bam,3642255,slurm,,corral-repl,,0.0,no,,,1,No,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""No""","""""",19420312,"""300000""","""0.1""","""No""","""0.15""",2,,19419773.0,Use reference annotation guide,,,,,732492530.0,gtf,,22643773.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-04-25 07:32:09.451397,46083,223922.698027
2015-04-22 17:20:22.177001,slurm_multi,,main_w2_handler2,2278435,9301733,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",521542715,bam,3665406,slurm,,corral-repl,,0.0,no,,,1,No,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""No""","""""",19420386,"""300000""","""0.1""","""No""","""0.15""",2,,19419773.0,Use reference annotation guide,,,,,732492530.0,gtf,,22643773.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2015-04-26 10:18:15.193038,46083,320273.016037
2016-03-22 17:49:54.930777,slurm_multi_dynamic_walltime,,main_w2_handler2,2635443,12228754,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12172088172,bam,6442628,slurm,,corral-repl,,0.0,no,,,1,No,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""No""","""""",23974805,"""300""","""0.1""","""No""","""0.15""",0,,,No,,,,,,,,29106601.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2016-03-24 05:50:51.048241,80775,129656.11746400001
2014-03-15 01:35:09.277245,slurm_multi,,main_w2_handler2,1653721,6674809,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5967279977,bam,699507,slurm,,corral-repl,,,,,,1,No,,,,,"""/galaxy/data/chrom/mm9.len""","""mm9""","""No""","""""",14919629,"""300000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,,,13765286.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-03-17 08:26:04.645923,40452,197455.368678
2014-02-12 15:12:36.297485,slurm_multi,,main_w2_handler2,1800682,6505703,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8436397151,bam,544400,slurm,,corral-repl,,,,,,0,Yes,1.0,,history,14542709.0,"""/galaxy/data/chrom/dp4.len""","""dp4""","""Yes""","""""",14542806,"""300000""","""0.1""","""Yes""","""0.15""",0,,,No,156653690.0,fasta,,,,,,12788693.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-02-15 20:53:08.901530,31037,279632.60404500004
2014-02-17 20:50:30.280139,slurm_multi,,main_w2_handler2,1615128,6534297,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7657367275,bam,564145,slurm,,corral-repl,,,,,,1,No,,,,,"""/galaxy/data/chrom/ce10.len""","""ce10""","""No""","""""",12062175,"""12000""","""0.1""","""No""","""0.15""",0,,,No,,,,,,,,13394347.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-02-19 23:29:19.884697,39421,182329.60455800002
2014-01-29 20:25:25.815215,slurm_8threads,,main_w2_handler2,1775398,6431296,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8436397152,bam,461651,slurm,,corral-repl,,,,,,0,Yes,1.0,,history,14025263.0,"""/galaxy/data/chrom/dp4.len""","""dp4""","""Yes""","""""",14166102,"""300000""","""0.1""","""Yes""","""0.15""",0,,,No,156653690.0,fasta,,,,,,12747912.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-02-01 15:40:25.718489,31037,242099.903274
2014-02-02 20:23:11.803647,slurm_8threads,,main_w2_handler2,1775398,6448259,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8436397152,bam,479087,slurm,,corral-repl,,,,,,0,Yes,1.0,,history,14025263.0,"""/galaxy/data/chrom/dp4.len""","""dp4""","""Yes""","""""",14166102,"""300000""","""0.1""","""Yes""","""0.15""",0,,,No,156653690.0,fasta,,,,,,12738901.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-02-04 20:33:53.213572,31037,173441.409925
2014-02-16 17:17:15.768204,slurm_multi,,main_w2_handler2,1800682,6526168,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8355703762,bam,561297,slurm,,corral-repl,,,,,,0,Yes,1.0,,history,14542709.0,"""/galaxy/data/chrom/dp4.len""","""dp4""","""Yes""","""""",14640738,"""300000""","""0.1""","""Yes""","""0.15""",0,,,No,156653690.0,fasta,,,,,,13340832.0,error,toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7,0.0.7,,2014-02-19 12:34:06.442440,31037,242210.67423600002
