create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,main,main_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.main_lab,parameters.sets,parameters.universe.__current_case__,parameters.universe.main,parameters.universe.type_select,runner_name,session_id,sets_0|set,sets_0|set_filetype,sets_1|set,sets_1|set_filetype,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-08 02:58:03.326677,slurm_normal,,main_w2_handler0,2661501,12378035,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6576431.roundup,slurm,,1087543468.0,fastq,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""","[{""__index__"": 0, ""set"": 24192972, ""lab"": ""Group""}]",0,24192972.0,explicit,,29480543,1087543468,fastq,,,error,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-04-09 14:58:44.110924,82121,129640.784247
2017-08-21 21:28:31.601803,slurm_normal,,main_w3_handler0,3206616,16627138,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10699228.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""","[{""__index__"": 0, ""set"": {""values"": [{""src"": ""hda"", ""id"": 30677005}]}, ""lab"": ""EP300""}, {""__index__"": 1, ""set"": {""values"": [{""src"": ""hda"", ""id"": 30676840}]}, ""lab"": ""PARP1""}]",1,,implicit,,39990130,2611895703,fastqsanger,14527936401.0,fastqsanger,error,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2017-08-23 09:28:53.919823,109561,129622.31802
