chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,in_file,in_file_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.in_file,parameters.in_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
38.0,len,2016-02-08 08:01:22.928763,slurm_normal,,main_w2_handler1,2584669,11741455,False,8685242,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5997964.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/014/203/dataset_14203207.dat""","""?""",23220789,,,27316388,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-02-09 20:01:58.332264,50564,129635.40350100001
38.0,len,2016-02-11 19:06:43.209809,slurm_normal,,main_w1_handler1,2584669,11794233,False,8685242,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6047424.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/014/203/dataset_14203207.dat""","""?""",23220789,,,27316388,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-02-13 07:07:40.033972,50564,129656.82416300001
,,2016-04-17 00:38:34.933626,slurm_normal,,main_w1_handler2,2617691,12488338,False,353697194,sam,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6680422.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5622ba8d8c23d0440'}]",,28738476,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-04-18 12:39:14.296057,79593,129639.362431
,,2016-04-17 00:29:39.073344,slurm_normal,,main_w1_handler2,2617691,12488275,False,370536881,sam,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6680394.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cdbf93cc095f1a9c'}]",,28738476,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-04-18 12:30:12.898606,79593,129633.82526200001
,,2016-04-17 00:38:35.648658,slurm_normal,,main_w2_handler0,2617691,12488339,False,615871994,sam,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6680423.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ddbabc41bd2f032'}]",,28738476,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-04-18 12:39:15.696704,79593,129640.04804600001
,,2016-10-22 14:38:27.782138,slurm_normal,,main_w3_handler0,2782063,14147185,False,425277779,gd_snp,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8359817.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5038b27b89a954f7c'}]",,33852544,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2016-10-24 02:39:09.673031,19390,129641.890893
,,2017-09-15 13:03:13.141550,slurm_normal,,main_w3_handler0,3043843,16830888,False,57373706,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10900417.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31255701}]",,39837502,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2017-09-17 01:04:14.878762,102704,129661.737212
,,2017-09-15 14:08:58.737812,slurm_normal,,main_w3_handler1,3043843,16834699,False,8826724,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10901232.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31260888}]",,39837502,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2017-09-17 02:09:14.264043,102704,129615.52623100001
,,2017-09-18 06:53:55.283620,slurm_normal,,main_w3_handler0,3043843,16851423,False,8826724,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10918345.roundup,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31260888}]",,39837502,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2017-09-19 18:54:35.529798,102704,129640.246178
,,2018-01-23 15:55:27.200564,slurm_normal,,main_w3_handler0,3364984,18135219,False,592582327,tabular,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12214768,slurm,,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33465155}]",,42649332,error,toolshed.g2.bx.psu.edu/repos/iuc/datamash_transpose/datamash_transpose/1.0.6,1.0.6,,2018-01-25 03:56:27.446541,118606,129660.24597700001
