create_time,destination_id,exit_code,file_list,file_list_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.clip,parameters.adv.matepairDist,parameters.adv.maxID,parameters.adv.minID,parameters.adv.minlen,parameters.adv.readfilter,parameters.adv.region,parameters.adv.skip_technical,parameters.adv.split,parameters.adv.spotgroups,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-03 23:13:54.860381,slurm_normal,,941167267,fastq.gz,main_w3_handler1,2961406,14947672,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9111371.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28127884}]",file_list,"""fastqsanger""",,35800179,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-06 23:14:18.112119,41835,259223.25173800002
2017-03-28 18:36:14.421149,slurm_normal,,23236051220,sra,main_w3_handler0,3049673,15417151,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9552581.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956443}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-30 15:55:41.136451,103080,163166.715302
2017-03-28 18:35:27.612045,slurm_normal,,26534699480,sra,main_w3_handler1,3049673,15417145,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9550725.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956484}]",file_list,"""fasta""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-30 09:57:21.214810,103080,141713.60276500002
2017-03-28 18:36:11.396900,slurm_normal,,33111117604,sra,main_w4_handler0,3049673,15417147,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9552582.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956361}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-30 15:55:44.624975,103080,163173.22807500002
2017-03-28 18:36:17.570171,slurm_normal,,22789731239,sra,main_w3_handler1,3049673,15417156,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9568167.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956485}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-01 03:55:50.639420,103080,292773.069249
2017-03-28 18:36:11.851446,slurm_normal,,22916457025,sra,main_w4_handler0,3049673,15417148,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9568170.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956429}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-04-01 03:56:20.168716,103080,292808.31727
2017-03-28 18:36:15.383477,slurm_normal,,24451430664,sra,main_w3_handler1,3049673,15417152,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9565771.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956469}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-31 21:57:49.951760,103080,271294.56828300003
2017-03-28 18:36:16.948470,slurm_normal,,26534699480,sra,main_w3_handler1,3049673,15417155,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9566055.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28956484}]",file_list,"""fastqsanger""",,36936501,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-03-31 23:40:20.114646,103080,277443.166176
2017-02-16 14:50:04.012291,slurm_normal,,1381414334,fastq.bz2,main_w4_handler0,2992193,15058581,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214142.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323641}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:28.085233,62534,129624.07294200001
2017-02-16 14:50:02.593339,slurm_normal,,1064385116,fastq.bz2,main_w4_handler1,2992193,15058578,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9214140.roundup,slurm,,corral-repl,,both,false,,,,,,,false,true,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",2,"[{'src': 'hda', 'id': 28323606}]",file_list,"""fastqsanger""",,36087415,error,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.8.0,2.8.0,,2017-02-18 02:50:27.056458,62534,129624.46311900001
