create_time,destination_id,exit_code,gene_annotation_model,gene_annotation_model_filetype,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile,parameters.singlePaired.__current_case__,parameters.singlePaired.input2,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.pParams.__current_case__,parameters.singlePaired.pParams.anchor_length,parameters.singlePaired.pParams.closure_search.__current_case__,parameters.singlePaired.pParams.closure_search.use_search,parameters.singlePaired.pParams.coverage_search.__current_case__,parameters.singlePaired.pParams.coverage_search.max_coverage_intron,parameters.singlePaired.pParams.coverage_search.min_coverage_intron,parameters.singlePaired.pParams.coverage_search.use_search,parameters.singlePaired.pParams.indel_search.__current_case__,parameters.singlePaired.pParams.indel_search.allow_indel_search,parameters.singlePaired.pParams.indel_search.max_deletion_length,parameters.singlePaired.pParams.indel_search.max_insertion_length,parameters.singlePaired.pParams.initial_read_mismatches,parameters.singlePaired.pParams.library_type,parameters.singlePaired.pParams.mate_std_dev,parameters.singlePaired.pParams.max_intron_length,parameters.singlePaired.pParams.max_multihits,parameters.singlePaired.pParams.max_segment_intron,parameters.singlePaired.pParams.microexon_search,parameters.singlePaired.pParams.min_intron_length,parameters.singlePaired.pParams.min_segment_intron,parameters.singlePaired.pParams.own_junctions.__current_case__,parameters.singlePaired.pParams.own_junctions.gene_model_ann.__current_case__,parameters.singlePaired.pParams.own_junctions.gene_model_ann.gene_annotation_model,parameters.singlePaired.pParams.own_junctions.gene_model_ann.use_annotations,parameters.singlePaired.pParams.own_junctions.no_novel_juncs,parameters.singlePaired.pParams.own_junctions.raw_juncs.__current_case__,parameters.singlePaired.pParams.own_junctions.raw_juncs.raw_juncs,parameters.singlePaired.pParams.own_junctions.raw_juncs.use_juncs,parameters.singlePaired.pParams.own_junctions.use_junctions,parameters.singlePaired.pParams.pSettingsType,parameters.singlePaired.pParams.seg_length,parameters.singlePaired.pParams.seg_mismatches,parameters.singlePaired.pParams.splice_mismatches,parameters.singlePaired.sPaired,parameters.singlePaired.sParams.__current_case__,parameters.singlePaired.sParams.anchor_length,parameters.singlePaired.sParams.closure_search.__current_case__,parameters.singlePaired.sParams.closure_search.use_search,parameters.singlePaired.sParams.coverage_search.__current_case__,parameters.singlePaired.sParams.coverage_search.max_coverage_intron,parameters.singlePaired.sParams.coverage_search.min_coverage_intron,parameters.singlePaired.sParams.coverage_search.use_search,parameters.singlePaired.sParams.indel_search.__current_case__,parameters.singlePaired.sParams.indel_search.allow_indel_search,parameters.singlePaired.sParams.indel_search.max_deletion_length,parameters.singlePaired.sParams.indel_search.max_insertion_length,parameters.singlePaired.sParams.initial_read_mismatches,parameters.singlePaired.sParams.library_type,parameters.singlePaired.sParams.max_intron_length,parameters.singlePaired.sParams.max_multihits,parameters.singlePaired.sParams.max_segment_intron,parameters.singlePaired.sParams.microexon_search,parameters.singlePaired.sParams.min_intron_length,parameters.singlePaired.sParams.min_segment_intron,parameters.singlePaired.sParams.own_junctions.__current_case__,parameters.singlePaired.sParams.own_junctions.gene_model_ann.__current_case__,parameters.singlePaired.sParams.own_junctions.gene_model_ann.use_annotations,parameters.singlePaired.sParams.own_junctions.no_novel_juncs,parameters.singlePaired.sParams.own_junctions.raw_juncs.__current_case__,parameters.singlePaired.sParams.own_junctions.raw_juncs.use_juncs,parameters.singlePaired.sParams.own_junctions.use_junctions,parameters.singlePaired.sParams.sSettingsType,parameters.singlePaired.sParams.seg_length,parameters.singlePaired.sParams.seg_mismatches,parameters.singlePaired.sParams.splice_mismatches,raw_juncs,raw_juncs_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-15 18:50:34.904480,roundup_multi,,,,main_w2_handler2,2236608,8953365,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",41192489434,fastqsanger,,,3175451,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18864407,,0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single,1.0,8,1.0,No,0.0,20000,50,Yes,1.0,Yes,3,3,2,fr-unstranded,500000,20,500000,No,70,50,1.0,,,,,,No,full,25,2,0,,,,21817325.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-17 06:51:27.852798,60791,129652.94831800001
2015-03-17 15:10:03.165969,roundup_multi,,,,main_w2_handler2,2236204,8967727,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708986150,fastqsanger,,,3243271,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18845306,,0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single,1.0,8,1.0,No,0.0,20000,50,Yes,1.0,Yes,3,3,2,fr-unstranded,500000,20,500000,No,70,50,1.0,,,,,,No,full,25,2,0,,,,21857323.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-21 03:50:05.385980,60791,304802.220011
2015-03-17 03:21:07.616119,roundup_multi,,,,main_w2_handler2,2239122,8963211,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13223299769,fastqsanger,13223299769.0,fastqsanger,3194209,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18877992,,0,indexed,/galaxy/data/hg19/bowtie_index/hg19,,1,18877947.0,45,1.0,8,1.0,No,0.0,20000,50,Yes,1.0,Yes,3,3,2,fr-unstranded,20,500000,20,500000,No,70,50,1.0,,,,,,,,No,full,25,2,0,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21847596.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-18 15:21:57.635325,59213,129650.01920600001
2015-03-22 22:34:59.211742,roundup_multi,,,,main_w2_handler2,2237493,9009495,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6512001973,fastqsanger,6512001973.0,fastqsanger,3287287,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",18928564,,0,indexed,rn5,,1,18928573.0,200,1.0,8,1.0,No,0.0,20000,50,Yes,1.0,Yes,3,3,2,fr-unstranded,50,500000,20,500000,No,70,50,1.0,,,,,,,,No,full,25,2,0,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21759850.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-24 23:03:22.484890,60839,174503.273148
2015-03-20 03:27:24.032332,roundup_multi,,,,main_w2_handler2,2237493,8994112,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6512001973,fastqsanger,6512001973.0,fastqsanger,3263871,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",18928564,,0,indexed,rn5,,1,18928573.0,200,1.0,8,1.0,No,0.0,20000,50,Yes,1.0,Yes,3,3,2,fr-unstranded,50,500000,20,500000,No,70,50,1.0,,,,,,,,No,full,25,2,0,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21759850.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-22 10:00:09.097601,60839,196365.065269
2014-09-13 02:52:45.096389,roundup_multi,,,,main_w2_handler2,1871796,7746266,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17748222993,fastqsanger,17748222993.0,fastqsanger,1730388,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",16782613,,0,indexed,mm9canon,,1,16782614.0,20,1.0,5,1.0,No,0.0,20000,50,Yes,0.0,No,,,2,fr-unstranded,20,500000,40,500000,No,50,50,0.0,0.0,,No,No,1.0,16796527.0,Yes,Yes,full,25,2,0,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7996842.0,bed,,16941738.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2014-09-15 13:31:48.511004,36470,211143.41461500002
2014-09-15 11:19:09.126775,roundup_multi,,,,main_w2_handler2,2050568,7792507,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10340932334,fastqsanger,10340932334.0,fastqsanger,1779279,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",16867292,,0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,1,16867298.0,20,1.0,5,1.0,No,0.0,20000,50,Yes,0.0,No,,,2,fr-unstranded,20,500000,40,500000,No,50,50,0.0,0.0,,No,No,1.0,16880618.0,Yes,Yes,full,25,2,0,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7996842.0,bed,,17000255.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2014-09-17 23:37:57.851329,52997,217128.72455400001
2014-03-12 09:14:13.647856,slurm_multi,,,,main_w2_handler2,1721596,6656065,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7882769245,txt,,,681761,slurm,,corral-repl,,,,,,,,"""/galaxy/data/chrom/mm9.len""","""mm9""",14918872,,0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,,,,,,13701172.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2014-03-14 09:48:39.550239,33241,174865.902383
2014-01-31 19:38:04.794869,slurm_8threads,,,,main_w2_handler2,1788994,6442544,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",14975367904,fastqsanger,,,474487,slurm,,corral-repl,,,,,,,,"""/galaxy/data/chrom/mm9.len""","""mm9""",14266044,,0,indexed,/galaxy/data/mm9/bowtie_index/mm9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,,,,,,12736611.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2014-02-03 14:57:52.120415,31372,242387.325546
2015-03-09 10:29:17.285400,roundup_multi,,,,main_w2_handler2,690951,8894959,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",43075503755,fastqsanger,43075503755.0,fastqsanger,3067351,slurm,,corral-repl,136473378.0,fasta,,0.0,no,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",18740763,,1,history,,18753539.0,1,18740764.0,200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,,,paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21535660.0,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat/tophat/1.5.0,1.5.0,,2015-03-10 22:29:58.874442,15673,129641.589042
