create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.gatk_param_type_selector,parameters.knowns_only,parameters.lod_threshold,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rod_bind,parameters.target_intervals,parameters.target_intervals.values,ref_file,ref_file_filetype,rod_bind_0|input_rod,rod_bind_0|input_rod_filetype,rod_bind_1|input_rod,rod_bind_1|input_rod_filetype,rod_bind_2|input_rod,rod_bind_2|input_rod_filetype,runner_name,session_id,state,target_intervals,target_intervals_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-16 18:30:13.313532,slurm_normal_16gb,,main_w1_handler2,2472555,10602501,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13867637,bam,4872855.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,basic,"""False""","""5.0""",1,21556404.0,,21533741,,history,"[{""__index__"": 0, ""rod_bind_type"": {""rod_bind_type_selector"": ""indels"", ""__current_case__"": 2, ""input_rod"": 21533749}}, {""__index__"": 1, ""rod_bind_type"": {""rod_bind_type_selector"": ""dbsnp"", ""__current_case__"": 0, ""input_rod"": 21533750}}, {""__index__"": 2, ""rod_bind_type"": {""rod_bind_type_selector"": ""snps"", ""__current_case__"": 1, ""input_rod"": 21533744}}]",21533751,,3157608038.0,fasta,90199019.0,vcf,8590101431.0,vcf,7398865818.0,vcf,,25324567,error,27777,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2015-10-17 22:28:54.897414,59565,100721.583882
2016-10-13 04:46:30.778299,slurm_normal_16gb,,main_w3_handler1,2196193,14069730,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17000990522,bam,8286767.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,"""false""","""5.0""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc15e010bab7b8ea'}]",hg_g1k_v37,,cached,[],,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da8619adec3f4644'}]",,,,,,,,,,33641986,error,59002255,gatk_interval,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-10-14 04:47:04.422501,37892,86433.64420200001
2016-10-26 20:35:37.467246,slurm_normal_16gb,,main_w3_handler1,2196193,14183733,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",16997321374,bam,8396410.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",0,basic,"""false""","""5.0""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f8a43b805add35b3'}]",hg_g1k_v37,,cached,[],,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5172a3a378c91d1b4'}]",,,,,,,,,,33927294,error,63361127,gatk_interval,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-10-27 20:36:17.266286,37892,86439.79904000001
2016-12-21 12:45:36.938166,slurm_normal_16gb,,main_w4_handler0,2910256,14624285,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2357761895,bam,8807831.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707960}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-23 12:57:39.552340,29285,173522.61417400002
2016-12-21 12:45:36.105688,slurm_normal_16gb,,main_w3_handler0,2910256,14624284,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1987358054,bam,8801003.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707959}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-22 12:57:32.952132,29285,87116.84644400001
2016-12-21 12:45:38.304109,slurm_normal_16gb,,main_w4_handler1,2910256,14624287,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2138819127,bam,8801002.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707962}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-22 12:57:32.746688,29285,87114.44257900001
2016-12-21 12:45:40.010528,slurm_normal_16gb,,main_w3_handler0,2910256,14624289,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1427451703,bam,8807832.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707964}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-23 12:57:40.953096,29285,173520.942568
2016-12-21 12:45:39.113090,slurm_normal_16gb,,main_w4_handler0,2910256,14624288,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1841716029,bam,8817131.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707963}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-25 12:58:24.351736,29285,346365.23864600004
2016-12-21 12:45:41.952722,slurm_normal_16gb,,main_w3_handler0,2910256,14624291,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2294799698,bam,8813804.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707966}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-24 12:58:18.015095,29285,259956.06237300002
2016-12-21 12:45:41.094808,slurm_normal_16gb,,main_w3_handler1,2910256,14624290,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1727924765,bam,8813802.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707965}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-24 12:57:48.039099,29285,259926.94429100002
2016-12-21 12:45:37.686562,slurm_normal_16gb,,main_w4_handler0,2910256,14624286,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3025756334,bam,8817129.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707961}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27708006}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-25 12:57:56.658576,29285,346338.972014
2016-12-25 13:39:54.998427,slurm_normal_16gb,,main_w4_handler0,2910256,14645110,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3025756334,bam,8819867.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707961}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27741159}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-26 13:40:25.011581,29285,86430.013154
2016-12-25 13:39:54.206736,slurm_normal_16gb,,main_w4_handler1,2910256,14645109,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2357761895,bam,8819866.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707960}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27741159}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-26 13:40:25.017201,29285,86430.810465
2016-12-25 13:39:53.535154,slurm_normal_16gb,,main_w3_handler1,2910256,14645108,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1987358054,bam,8819868.roundup,slurm,,corral-repl,,0,basic,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,basic,"""false""","""5.0""",1,,"[{'src': 'hda', 'id': 27707959}]",,"[{'src': 'hda', 'id': 27431453}]",history,[],,"[{'src': 'hda', 'id': 27741159}]",1898448185.0,fasta,,,,,,,,34848496,error,33495029,bed,toolshed.g2.bx.psu.edu/repos/devteam/indel_realigner/gatk_indel_realigner/0.0.6,0.0.6,,2016-12-26 13:40:25.434811,29285,86431.899657
