create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.async_datasets,parameters.dbkey,parameters.file_count,parameters.file_type,parameters.files_metadata.__current_case__,parameters.files_metadata.file_type,parameters.paramfile,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-16 08:02:53.349561,rodeo_normal,,main_w2_handler1,2238175,8955324,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3179033.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""fastqsanger""",190,fastqsanger,"""/galaxy/main/scratch/tmpBkMYvs""",,21444984,error,upload1,1.1.4,,2015-03-17 20:03:26.540250,23909.0,129633.19068900001
2015-09-14 03:54:16.174222,slurm_normal,,main_w2_handler1,2437952,10312505,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4597176.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpYjK5Nn""",,25160158,error,upload1,1.1.4,,2015-09-15 15:54:49.460602,69188.0,129633.28638
2015-09-14 03:54:46.566123,slurm_normal,,main_w1_handler2,2437952,10312506,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4597177.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpY1P3vP""",,25160158,error,upload1,1.1.4,,2015-09-15 15:55:21.929456,69188.0,129635.363333
2015-09-14 04:02:59.536137,slurm_normal,,main_w2_handler0,2437951,10312533,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4597200.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",32,auto,"""/galaxy/main/scratch/tmpm4t368""",,25160265,error,upload1,1.1.4,,2015-09-15 16:03:50.833956,69195.0,129651.29781900001
2015-09-14 04:03:08.086948,slurm_normal,,main_w1_handler2,2437951,10312534,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4597201.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",32,auto,"""/galaxy/main/scratch/tmpPkN1wD""",,25160265,error,upload1,1.1.4,,2015-09-15 16:03:51.816289,69195.0,129643.72934100001
2015-04-22 09:56:41.870934,slurm_normal,,main_w1_handler0,2275586,9298178,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3614179.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmp6sREtQ""",,22637304,error,upload1,1.1.4,,2015-04-23 22:01:57.917241,27830.0,129916.04630700001
2015-05-13 07:24:21.851448,slurm_normal,,main_w1_handler1,2292502,9461252,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3786184.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpb3o37t""",,22322039,error,upload1,1.1.4,,2015-05-14 19:25:08.522989,17244.0,129646.671541
2015-05-23 23:21:40.734370,slurm_normal,,main_w2_handler0,2313638,9524989,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3844894.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmpQgBkpO""",,23206817,error,upload1,1.1.4,,2015-05-27 08:08:43.137531,63630.0,290822.403161
2015-07-05 04:28:50.372599,slurm_normal,,main_w1_handler1,1550125,9791798,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4093839.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmpeRR1CT""",,23523721,error,upload1,1.1.4,,2015-07-06 16:29:37.519062,29919.0,129647.14646300001
2015-07-05 04:35:42.529321,slurm_normal,,main_w1_handler1,1550125,9791802,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4093843.roundup,slurm,,corral-repl,,"""None""","""mm9""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmpFEqV4t""",,23523721,error,upload1,1.1.4,,2015-07-06 16:36:38.400779,29919.0,129655.87145800001
2015-07-08 07:13:59.565547,slurm_normal,,main_w2_handler0,2359890,9809497,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4109898.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmpcrE07L""",,23943884,error,upload1,1.1.4,,2015-07-09 19:15:04.323610,33277.0,129664.758063
2015-07-08 07:15:09.172237,slurm_normal,,main_w2_handler1,2359890,9809499,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4109904.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmpbFcxOE""",,23943884,error,upload1,1.1.4,,2015-07-09 19:16:03.133562,33277.0,129653.96132500001
2015-07-13 17:45:32.270869,slurm_normal,,main_w1_handler2,2310442,9853128,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4148205.roundup,slurm,,corral-repl,,"""None""","""Arabidopsis_thaliana_TAIR10""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmp0X94z1""",,24123403,error,upload1,1.1.4,,2015-07-15 05:46:25.480516,46476.0,129653.20964700001
2015-08-05 06:24:57.188154,slurm_normal,,main_w2_handler1,2395279,10065338,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4343966.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpIv7XtU""",,24455746,error,upload1,1.1.4,,2015-08-06 18:25:43.640492,67163.0,129646.452338
2015-07-16 12:45:56.324781,slurm_normal,,main_w2_handler0,2310442,9880987,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4171127.roundup,slurm,,corral-repl,,"""None""","""Arabidopsis_thaliana_TAIR10""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpVriwHV""",,24147700,error,upload1,1.1.4,,2015-07-18 00:46:35.124464,46476.0,129638.799683
2015-08-05 06:11:24.174721,slurm_normal,,main_w2_handler1,2401154,10065278,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4343906.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpzq7B5i""",,24495793,error,upload1,1.1.4,,2015-08-06 18:11:58.854596,51522.0,129634.679875
2015-08-04 03:46:50.037067,slurm_normal,,main_w2_handler0,2395279,10059354,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4338181.roundup,slurm,,corral-repl,,"""None""","""?""",,"""bam""",52,bam,"""/galaxy/main/scratch/tmpQAiI3U""",,24455746,error,upload1,1.1.4,,2015-08-05 15:48:20.532598,67163.0,129690.49553100001
2015-07-17 14:34:36.927783,slurm_normal,,main_w2_handler1,2379928,9893216,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4182248.roundup,slurm,,corral-repl,,"""None""","""hg19""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpi_zIwA""",,24188882,error,upload1,1.1.4,,2015-07-19 02:38:07.205096,59445.0,129810.27731300001
2015-08-05 04:00:55.034044,slurm_normal,,main_w1_handler2,2395279,10065137,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4343784.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpuvpG2y""",,24455746,error,upload1,1.1.4,,2015-08-06 16:01:47.763508,67163.0,129652.729464
2015-08-08 05:32:06.902362,slurm_normal,,main_w2_handler0,2293493,10082555,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4359474.roundup,slurm,,corral-repl,,"""None""","""?""",,"""auto""",33,auto,"""/galaxy/main/scratch/tmp9v1gF8""",,24145166,error,upload1,1.1.4,,2015-08-09 17:32:57.859089,63105.0,129650.95672700001
2015-08-07 05:02:03.125196,slurm_normal,,main_w2_handler1,2395279,10076589,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4354223.roundup,slurm,,corral-repl,,"""None""","""?""",,"""fastq""",184,fastq,"""/galaxy/main/scratch/tmpQGuqzu""",,24455746,error,upload1,1.1.4,,2015-08-08 17:02:50.398870,67163.0,129647.27367400001
