create_time,destination_id,exit_code,fasta_file,fasta_file_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_file.values,parameters.force_quality_encoding,parameters.qual_file.values,qual_file,qual_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-17 15:57:58.010193,slurm_normal,,175694401,fasta,main_w2_handler1,2558467,13193827,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7378577.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5452d5e7f00816c75'}]","""ascii""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd27b55051d79e49'}]",896420.0,qualsolid,,30929393,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_combiner/fastq_combiner/1.0.1,1.0.1,,2016-06-19 03:58:15.153731,76378,129617.143538
2016-06-17 19:06:11.480147,slurm_normal,,175694401,fasta,main_w2_handler0,2558467,13195144,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7379744.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5452d5e7f00816c75'}]","""ascii""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd27b55051d79e49'}]",896420.0,qualsolid,,30929393,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_combiner/fastq_combiner/1.0.1,1.0.1,,2016-06-19 07:06:45.176936,76378,129633.69678900001
2016-05-19 00:28:26.244662,slurm_normal,,2993186594,fasta,main_w2_handler1,1695160,12934728,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7128951.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d46298424f70e2d8'}]","""ascii""",,,,,30314586,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_combiner/fastq_combiner/1.0.1,1.0.1,,2016-05-20 12:28:55.882025,41784,129629.637363
