create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-28 20:09:50.721737,slurm_normal,,main_w2_handler1,2101198,10757980,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3356918129,fastq,5016892.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21787615,,,25956936,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2015-10-30 08:10:20.552267,32713.0,129629.83053
2015-11-02 20:27:09.018866,slurm_normal,,main_w2_handler1,2101198,10800568,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1677917979,fastq,5054903.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21849301,,,25955724,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2015-11-04 08:27:39.110597,32713.0,129630.09173100001
2016-01-19 00:17:51.638110,slurm_normal,,main_w2_handler0,2569435,11539758,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",744005847,fastq,5806757.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22947380,,,27530894,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-01-20 12:18:40.679980,,129649.04187
2016-03-15 17:33:51.806450,slurm_normal,,main_w1_handler1,2191967,12144231,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",83630247184,fastq,6361777.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23849479,,,28739602,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-03-17 05:36:48.963479,53265.0,129777.15702900001
2016-03-17 11:24:35.987477,slurm_normal,,main_w2_handler1,2191967,12164724,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",83630247184,fastq,6382011.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23849479,,,29013552,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-03-18 23:26:26.180605,53265.0,129710.19312800001
2016-05-24 00:41:39.718590,slurm_normal,,main_w1_handler0,2011534,12968895,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6478928403,fastq,7156603.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Zea_mays_B73_RefGen_v2.len""","""Zea_mays_B73_RefGen_v2""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e345df428bacdbac'}]",,30392498,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-05-25 12:42:42.176993,52027.0,129662.45840300001
2016-03-23 15:13:15.986962,slurm_normal,,main_w1_handler0,2643667,12236218,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4745478844,fastq,6450158.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",23992680,,,29159377,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-03-25 03:16:09.127361,,129773.14039900001
2016-05-26 17:23:53.192766,slurm_normal,,main_w2_handler0,2637199,12993172,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",24153708566,fastq,7178941.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b544be6f7f4e40f445'}]",,30437077,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-05-28 05:24:58.694092,80842.0,129665.50132600001
2016-04-05 12:18:18.543774,slurm_normal,,main_w1_handler0,2657765,12342546,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10232257872,fastq,6547996.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24149526,,,29422808,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-04-07 00:18:47.570923,54385.0,129629.027149
2016-04-07 21:12:12.620834,slurm_normal,,main_w1_handler0,2643667,12376041,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6199073909,fastq,6573117.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",24197022,,,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0,1.0.0,,2016-04-09 09:12:41.803285,81363.0,129629.18245100002
