create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.options_type.O,parameters.options_type.__current_case__,parameters.options_type.algorithmic_features.__current_case__,parameters.options_type.algorithmic_features.algorithmic_features_selector,parameters.options_type.allele_scope.I,parameters.options_type.allele_scope.X,parameters.options_type.allele_scope.__current_case__,parameters.options_type.allele_scope.allele_scope_selector,parameters.options_type.allele_scope.haplotype_length,parameters.options_type.allele_scope.i,parameters.options_type.allele_scope.min_repeat_entropy,parameters.options_type.allele_scope.min_repeat_length,parameters.options_type.allele_scope.n,parameters.options_type.allele_scope.no_partial_observations,parameters.options_type.allele_scope.u,parameters.options_type.genotype_likelihoods.__current_case__,parameters.options_type.genotype_likelihoods.genotype_likelihoods_selector,parameters.options_type.input_filters.__current_case__,parameters.options_type.input_filters.input_filters_selector,parameters.options_type.min_coverage,parameters.options_type.optional_inputs.__current_case__,parameters.options_type.optional_inputs.optional_inputs_selector,parameters.options_type.options_type_selector,parameters.options_type.population_mappability_priors.__current_case__,parameters.options_type.population_mappability_priors.population_mappability_priors_selector,parameters.options_type.population_model.__current_case__,parameters.options_type.population_model.population_model_selector,parameters.options_type.reference_allele.__current_case__,parameters.options_type.reference_allele.reference_allele_selector,parameters.options_type.reporting.__current_case__,parameters.options_type.reporting.reporting_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.target_limit_type_selector,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,reference_source|input_bams_1|input_bam,reference_source|input_bams_1|input_bam_filetype,reference_source|input_bams_2|input_bam,reference_source|input_bams_2|input_bam_filetype,reference_source|input_bams_3|input_bam,reference_source|input_bams_3|input_bam_filetype,reference_source|input_bams_4|input_bam,reference_source|input_bams_4|input_bam_filetype,reference_source|input_bams_5|input_bam,reference_source|input_bams_5|input_bam_filetype,reference_source|input_bams_6|input_bam,reference_source|input_bams_6|input_bam_filetype,reference_source|input_bams_7|input_bam,reference_source|input_bams_7|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-03 09:28:33.418648,slurm_normal,,main_w2_handler1,2497817,11691449,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6771140100.0,bam,5949342.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,0,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 23112004}]",hg19,,cached,0,do_not_limit,,,,,,,,,,,,,,,,,,,,27899162.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-02-04 21:29:11.459397,72876.0,129638.040749
2016-02-03 09:49:56.404743,slurm_normal,,main_w1_handler2,2497817,11691553,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",6771140100.0,bam,5949511.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,0,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 23112004}]",hg19,,cached,0,do_not_limit,,,,,,,,,,,,,,,,,,,,27899162.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-02-04 21:50:45.215060,72876.0,129648.81031700001
2016-03-10 00:52:44.575942,slurm_normal,,main_w1_handler1,2617649,12091190,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3543588069.0,bam,6315773.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,4,,,,,,,,,,,,,,,,,,10,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 23747048}]",ce10,,cached,0,do_not_limit,,,,,,,,,,,,,,,,,,,,28799056.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-03-11 12:53:12.988493,67361.0,129628.412551
2016-03-10 17:33:27.572966,slurm_normal,,main_w1_handler1,2617649,12098012,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3543588069.0,bam,6322177.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,4,,,,,,,,,,,,,,,,,,10,,,naive_w_filters,,,,,,,,,1,"[{'__index__': 0, 'input_bam': 23747048}]",23576994,,history,0,do_not_limit,102291840.0,fasta,,,,,,,,,,,,,,,,,,28799056.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-03-12 05:39:17.810989,67361.0,129950.23802300001
2016-06-17 11:58:14.452139,slurm_normal,,main_w2_handler0,2691933,13192490,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,7377249.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,4,,,,,,,,,,,,,,,,,,0,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5ba86d238581c530b'}]}}]",hg19,,cached,0,do_not_limit,,,7463800509.0,bam,,,,,,,,,,,,,,,,30376180.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-06-18 23:58:43.019161,83706.0,129628.567022
2016-05-04 12:02:23.398367,slurm_normal,,main_w1_handler2,2661614,12768429,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,6972559.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,4,,,,,,,,,,,,,,,,,,1,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5dd11bb1ea0142ca2'}]}}]",Arabidopsis_thaliana_TAIR10,,cached,0,do_not_limit,,,2298331666.0,bam,,,,,,,,,,,,,,,,30020279.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-05-06 00:03:02.513922,82125.0,129639.11555500001
2016-05-04 12:02:24.230365,slurm_normal,,main_w1_handler2,2661614,12768430,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,6972561.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,4,,,,,,,,,,,,,,,,,,1,,,naive_w_filters,,,,,,,,,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b555f41d95da82b6b0'}]}}]",Arabidopsis_thaliana_TAIR10,,cached,0,do_not_limit,,,3288615663.0,bam,,,,,,,,,,,,,,,,30020279.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-05-06 00:03:02.659118,82125.0,129638.42875300001
2016-06-23 08:14:05.696710,slurm_normal,,main_w2_handler1,2747641,13244567,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,7430509.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",false,0,1.0,false,,,1.0,false,,,,,,,,1.0,false,1.0,false,,1.0,false,full,1.0,false,1.0,false,1.0,false,1.0,false,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5ab312f041414ad9c'}]}}]",rn5,,cached,0,do_not_limit,,,65494893.0,bam,,,,,,,,,,,,,,,,31037828.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-06-24 20:14:33.423841,43461.0,129627.727131
2016-06-23 08:14:53.579617,slurm_normal,,main_w2_handler0,2747641,13244572,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,7430514.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",false,0,1.0,false,,,1.0,false,,,,,,,,1.0,false,1.0,false,,1.0,false,full,1.0,false,1.0,false,1.0,false,1.0,false,0,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5fd21f09c2c67761d'}]}}]",rn5,,cached,0,do_not_limit,,,207059896.0,bam,,,,,,,,,,,,,,,,31037828.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-06-24 20:15:32.568613,43461.0,129638.98899600001
2016-03-17 04:25:53.293761,slurm_normal,,main_w1_handler2,2629782,12162445,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",815208967.0,bam,6379418.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,1,,,,,,,,,,,,,,,,,,,,,simple,,,,,,,,,0,"[{'__index__': 0, 'input_bam': 23877735}]",hg19,,cached,0,do_not_limit,,,,,,,,,,,,,,,,,,,,28931194.0,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.4.1,0.4.1,,2016-03-18 16:27:24.251941,80412.0,129690.95818
