chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,parameters.input_file|__identifier__,parameters.input_type,parameters.options_type.__current_case__,parameters.options_type.force_quality_encoding,parameters.options_type.options_type_selector,parameters.options_type.output_type,parameters.options_type.summarize_input,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-17 13:43:00.769977,slurm_normal,,main_w1_handler0,2343121,9673394,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15081083054,fastq,3983083.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20009106,,,"""sanger""",0,,basic,,,,23407373.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-06-19 01:43:32.602253,38529.0,129631.832276
,,2015-06-15 18:17:29.282089,slurm_normal,,main_w1_handler1,2343121,9656412,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15081083054,fastq,3966861.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20009106,,,"""sanger""",0,,basic,,,,23407373.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-06-17 06:18:26.199831,38529.0,129656.917742
,,2015-09-16 12:58:33.371668,slurm_normal,,main_w2_handler1,2440679,10333254,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",360645798,fastqcssanger,4616892.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21129685,,,"""sanger""",0,,basic,,,,25202749.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-09-18 01:02:13.756457,,129820.384789
,,2015-09-02 11:08:12.525861,slurm_normal,,main_w1_handler2,2426057,10243159,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1183790288,fastq,4526928.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20984236,,,"""illumina""",1,ascii,advanced,sanger,summarize_input,,24980233.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-09-03 23:09:18.684288,9022.0,129666.158427
,,2015-09-04 07:37:57.436497,slurm_normal,,main_w1_handler2,2426057,10256902,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1183790288,fastq,4544217.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20984236,,,"""sanger""",0,,basic,,,,24980233.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-09-05 19:38:47.993080,9022.0,129650.55658300001
,,2015-09-04 07:37:32.711896,slurm_normal,,main_w2_handler0,2426057,10256899,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1183790288,fastq,4544214.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20984236,,,"""sanger""",0,,basic,,,,24980233.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-09-05 19:38:18.158327,9022.0,129645.446431
,,2015-10-08 11:36:31.692566,slurm_normal,,main_w2_handler0,2180216,10527170,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",28929181720,fastq,4801640.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",21440805,,,"""illumina""",0,,basic,,,,24946255.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-10-09 23:37:00.330267,58589.0,129628.63770100001
,,2016-04-26 18:21:46.008516,slurm_normal,,main_w1_handler1,2573646,12626091,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4694206587,fastq,6830137.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ab74123c1ce97ded'}]",,"""sanger""",0,,basic,,,,28821486.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2016-04-28 06:22:05.464395,77250.0,129619.455879
,,2015-11-05 17:31:27.987237,slurm_normal,,main_w2_handler0,1639242,10829079,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",150658589429,fastq,5084341.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21873622,,,"""sanger""",0,,basic,,,,24749164.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-11-07 05:32:00.255303,31997.0,129632.268066
,,2015-11-17 18:10:15.267660,slurm_normal,,main_w1_handler0,2494165,10925300,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10112466945,fastq,5180735.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22033900,,,"""sanger""",0,,basic,,,,26073999.0,error,toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4,1.0.4,,2015-11-19 06:10:51.267782,72583.0,129636.00012200001
