create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.count,parameters.analysis_type.seed,parameters.chromInfo,parameters.dbkey,parameters.input_bams,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-24 09:41:25.198913,slurm_normal_16gb,,main_w1_handler0,2373999,9963614,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2656028977,bam,4247988.roundup,slurm,,corral-repl,,5,random,13303529,1024,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""__index__"": 0, ""input_bam"": 20328876}]",,24086329,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-07-25 09:42:05.631635,51408,86440.43272200001
2015-08-06 14:26:43.408315,slurm_normal_16gb,,main_w2_handler0,1342721,10072786,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",433739697,bam,4354859.roundup,slurm,,corral-repl,,5,random,10000000,2000,"""/galaxy-repl/localdata/chrom/pyrFur2.len""","""pyrFur2""","[{""__index__"": 0, ""input_bam"": 14408739}]",,24506113,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-08-08 10:10:50.715787,11056,157447.30747200001
2015-07-25 11:06:38.660426,slurm_normal_16gb,,main_w1_handler1,2373999,9978163,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2656028977,bam,4262020.roundup,slurm,,corral-repl,,5,random,13303529,1024,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""__index__"": 0, ""input_bam"": 20328876}]",,24106804,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-07-26 11:07:12.882244,51408,86434.221818
2015-11-26 13:54:31.465034,slurm_normal_16gb,,main_w1_handler0,2518447,11015023,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3849174666,bam,5277924.roundup,slurm,,corral-repl,,5,random,12000000,1024,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{""__index__"": 0, ""input_bam"": 22155524}]",,25676237,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-11-28 07:29:24.444331,29532,149692.979297
2015-03-09 13:53:15.869366,rodeo_normal,,main_w2_handler0,2198397,8896219,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3414168478,bam,3070403.roundup,slurm,,corral-repl,,5,random,37061488,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18446966}]",,20289383,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-11 02:29:54.727462,43131,131798.858096
2015-03-09 13:53:13.591261,rodeo_normal,,main_w2_handler0,2198397,8896216,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3767897546,bam,3070398.roundup,slurm,,corral-repl,,5,random,37061488,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18445339}]",,20289383,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-11 02:29:23.861416,43131,131770.270155
2015-03-09 13:53:15.258147,rodeo_normal,,main_w2_handler1,2198397,8896218,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3782481093,bam,3070405.roundup,slurm,,corral-repl,,5,random,37061488,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18446134}]",,20289383,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-11 02:29:55.037031,43131,131799.778884
2015-03-03 05:24:53.458462,rodeo_normal,,main_w1_handler0,2224268,8847916,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1989471824,bam,2981918.roundup,slurm,,corral-repl,,5,random,15000000,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18702521}]",,21547540,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-04 17:26:34.064250,45102,129700.60578800002
2015-03-04 04:07:47.783759,rodeo_normal,,main_w2_handler1,2208689,8859402,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2356116500,bam,3003267.roundup,slurm,,corral-repl,,5,random,25000000,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18539305}]",,21573920,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-05 16:08:02.688078,44892,129614.90431900001
2015-03-04 04:09:10.564565,rodeo_normal,,main_w2_handler1,2208689,8859405,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3584970174,bam,3003277.roundup,slurm,,corral-repl,,5,random,25000000,1024,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 18539309}]",,21573920,error,toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1,0.0.1,,2015-03-05 16:09:31.571537,44892,129621.006972
