create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,maf_file,maf_file_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.maf_file|__identifier__,parameters.maf_source_type.__current_case__,parameters.maf_source_type.maf_file,parameters.maf_source_type.maf_file.values,parameters.maf_source_type.maf_identifier,parameters.maf_source_type.maf_source,parameters.maf_source_type.species,parameters.overwrite_with_gaps,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-01 05:36:19.024127,rodeo_normal,,main_w1_handler1,2218384,9109770,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",34998789,interval,3395357.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19097482,,,1.0,,,46_WAY_MULTIZ_hg19,cached,"['hg19', 'mm9']","""True""",,20701309,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-04-02 17:38:03.333821,,129704.30969400001
2015-04-01 18:29:33.024796,slurm_normal,,main_w2_handler1,2257091,9116882,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3100810,bed,3402816.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19108291,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'nomLeu3', 'rheMac3', 'macFas5', 'papHam1', 'chlSab1', 'calJac3', 'saiBol1', 'otoGar3', 'tupChi1', 'speTri2', 'jacJac1', 'micOch1', 'criGri1', 'mesAur1', 'mm10', 'rn5', 'hetGla2', 'cavPor3', 'chiLan1', 'octDeg1', 'oryCun2', 'ochPri3', 'susScr3', 'vicPac2', 'camFer1']","""True""",,22200013,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-04-03 06:30:39.105515,,129666.080719
2015-05-05 18:48:11.357737,slurm_normal,,main_w1_handler1,2293408,9402699,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8049415,interval,3733497.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19590209,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'rheMac3']","""True""",,22657650,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-07 06:48:54.591028,62349.0,129643.23329100001
2015-05-12 20:51:46.528368,slurm_normal,,main_w1_handler1,1530386,9457405,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5132477,bed,3782555.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19682565,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'rheMac3', 'otoGar3', 'speTri2', 'mm10', 'rn5', 'cavPor3', 'oryCun2', 'ochPri3', 'vicPac2', 'turTru2', 'bosTau7', 'equCab2', 'felCat5', 'canFam3', 'pteVam1', 'myoLuc2', 'eriEur2', 'sorAra2', 'loxAfr3', 'echTel2', 'dasNov3']","""True""",,22224093,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-14 08:52:32.710017,16415.0,129646.181649
2015-04-28 12:28:52.913578,slurm_normal,,main_w2_handler1,2285718,9350136,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",43960139,interval,3687333.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19493262,,,1.0,,,46_WAY_MULTIZ_hg19,cached,"['hg19', 'micMur1', 'otoGar1', 'tupBel1', 'mm9', 'rn4', 'dipOrd1', 'cavPor3', 'speTri1', 'oryCun2', 'ochPri2']","""True""",,22753559,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-04-30 00:36:53.277068,,130080.36349
2015-05-15 15:45:24.963514,slurm_normal,,main_w1_handler1,2306225,9479599,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",57,interval,3810804.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19722745,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4']","""True""",,23082397,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-20 03:15:29.630292,,387004.666778
2015-05-12 18:38:20.918071,slurm_normal,,main_w2_handler0,2301923,9456309,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",450861,bed,3781119.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19681223,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'nomLeu3', 'rheMac3', 'macFas5', 'papHam1', 'chlSab1', 'calJac3', 'saiBol1', 'otoGar3', 'tupChi1', 'speTri2', 'jacJac1', 'micOch1', 'criGri1', 'mesAur1', 'mm10', 'rn5', 'hetGla2', 'cavPor3', 'chiLan1', 'octDeg1', 'oryCun2', 'ochPri3', 'susScr3', 'vicPac2', 'camFer1', 'turTru2', 'orcOrc1', 'panHod1', 'bosTau7', 'oviAri3', 'capHir1', 'equCab2', 'cerSim1', 'felCat5', 'canFam3', 'musFur1', 'ailMel1', 'odoRosDiv1', 'lepWed1', 'pteAle1', 'pteVam1', 'myoDav1', 'myoLuc2', 'eptFus1', 'eriEur2', 'sorAra2', 'conCri1', 'loxAfr3', 'eleEdw1', 'triMan1', 'chrAsi1', 'echTel2', 'oryAfe1', 'dasNov3', 'monDom5', 'sarHar1', 'macEug2', 'ornAna1', 'falChe1', 'falPer1', 'ficAlb2', 'zonAlb1', 'geoFor1', 'taeGut2', 'pseHum1', 'melUnd1', 'amaVit1', 'araMac1', 'colLiv1', 'anaPla1', 'galGal4', 'melGal1', 'allMis1', 'cheMyd1', 'chrPic1', 'pelSin1', 'apaSpi1', 'anoCar2', 'xenTro7', 'latCha1', 'tetNig2', 'fr3', 'takFla1', 'oreNil2', 'neoBri1', 'hapBur1', 'mayZeb1', 'punNye1', 'oryLat2', 'xipMac1', 'gasAcu1', 'gadMor1', 'danRer7', 'astMex1', 'lepOcu1', 'petMar2']","""True""",,23008104,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-14 06:40:31.975224,,129731.057153
2015-05-12 18:38:22.561635,slurm_normal,,main_w1_handler0,2301923,9456312,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",195887,bed,3793472.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19681225,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'gorGor3', 'ponAbe2', 'nomLeu3', 'rheMac3', 'macFas5', 'papHam1', 'chlSab1', 'calJac3', 'saiBol1', 'otoGar3', 'tupChi1', 'speTri2', 'jacJac1', 'micOch1', 'criGri1', 'mesAur1', 'mm10', 'rn5', 'hetGla2', 'cavPor3', 'chiLan1', 'octDeg1', 'oryCun2', 'ochPri3', 'susScr3', 'vicPac2', 'camFer1', 'turTru2', 'orcOrc1', 'panHod1', 'bosTau7', 'oviAri3', 'capHir1', 'equCab2', 'cerSim1', 'felCat5', 'canFam3', 'musFur1', 'ailMel1', 'odoRosDiv1', 'lepWed1', 'pteAle1', 'pteVam1', 'myoDav1', 'myoLuc2', 'eptFus1', 'eriEur2', 'sorAra2', 'conCri1', 'loxAfr3', 'eleEdw1', 'triMan1', 'chrAsi1', 'echTel2', 'oryAfe1', 'dasNov3', 'monDom5', 'sarHar1', 'macEug2', 'ornAna1', 'falChe1', 'falPer1', 'ficAlb2', 'zonAlb1', 'geoFor1', 'taeGut2', 'pseHum1', 'melUnd1', 'amaVit1', 'araMac1', 'colLiv1', 'anaPla1', 'galGal4', 'melGal1', 'allMis1', 'cheMyd1', 'chrPic1', 'pelSin1', 'apaSpi1', 'anoCar2', 'xenTro7', 'latCha1', 'tetNig2', 'fr3', 'takFla1', 'oreNil2', 'neoBri1', 'hapBur1', 'mayZeb1', 'punNye1', 'oryLat2', 'xipMac1', 'gasAcu1', 'gadMor1', 'danRer7', 'astMex1', 'lepOcu1', 'petMar2']","""True""",,23008104,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-15 18:40:41.853136,,259339.29150100003
2015-05-14 15:08:04.498249,slurm_normal,,main_w2_handler1,1530386,9472579,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",321222,bed,3796611.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19708903,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'rheMac3', 'otoGar3', 'speTri2', 'mm10', 'rn5', 'cavPor3', 'oryCun2', 'ochPri3', 'vicPac2', 'turTru2', 'bosTau7', 'equCab2', 'felCat5', 'canFam3', 'pteVam1', 'myoLuc2', 'eriEur2', 'sorAra2', 'loxAfr3', 'echTel2', 'dasNov3']","""True""",,22224093,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-16 03:08:40.479358,16415.0,129635.98110900001
2015-05-14 15:08:02.462611,slurm_normal,,main_w2_handler0,1530386,9472575,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",299110,bed,3796612.roundup,slurm,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",19708897,,,1.0,,,100_WAY_MULTIZ_v2_hg19,cached,"['hg19', 'panTro4', 'rheMac3', 'otoGar3', 'speTri2', 'mm10', 'rn5', 'cavPor3', 'oryCun2', 'ochPri3', 'vicPac2', 'turTru2', 'bosTau7', 'equCab2', 'felCat5', 'canFam3', 'pteVam1', 'myoLuc2', 'eriEur2', 'sorAra2', 'loxAfr3', 'echTel2', 'dasNov3']","""True""",,22224093,error,Interval_Maf_Merged_Fasta2,1.0.1,,2015-05-16 03:08:40.141612,16415.0,129637.67900100001
