bamInput,bamInput_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.showAdvancedOpt,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.type,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
413463632,bam,2017-04-03 21:22:42.324031,slurm_multi,,main_w3_handler2,3057736,15476383,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9612115,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 29051711}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,0.0,3100000000,specific,1x,,37078845.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-04-06 04:23:29.759612,17286,198047.435581
3057986106,bam,2017-04-08 13:48:05.588902,slurm_multi,,main_w3_handler2,3059916,15530202,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9663803,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 29094322}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1x,,37212968.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-04-11 18:58:11.295320,103605,277805.70641800005
48107707,bam,2017-05-10 05:37:29.570635,slurm_multi,,main_w3_handler2,3104874,15799593,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9921443,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 29544847}]",,"""25""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,0.0,2452200000,specific,1x,,37422711.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-05-14 02:40:18.190863,97753,334968.62022800004
512916031,bam,2017-07-21 13:28:51.383965,slurm_multi,,main_w4_handler2,3172898,16385263,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10449881,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 30176112}]",,"""10""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bedgraph""","""""",0,,,,rpkm,,39427531.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-07-23 01:32:50.993480,95291,129839.609515
5565004,bam,2017-08-22 01:07:21.984587,slurm_multi,,main_w3_handler2,3218891,16628071,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10701886,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 30944206}]","""NA_18.bam""","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",2,2.0,,2451960000,1x,,39794571.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-08-23 20:45:13.757031,109989,157071.772444
784486334,bam,2017-09-06 06:09:33.349946,slurm_multi,,main_w3_handler2,2977754,16744096,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10815829,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 31119811}]",,"""30""","""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","""bigwig""","""""",2,2.0,,2451960000,1x,,40282912.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-09-08 02:34:03.987517,99254,159870.637571
5822115,bam,2017-10-19 20:49:01.625491,slurm_multi,,main_w4_handler2,3267637,17149361,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11207194,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31766097}]","""EBI SRA: SRS595009 File: ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/002/SRR1257432/SRR1257432.fastq.gz""","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,1.0,,2150570000,1x,,40890176.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-10-21 08:52:47.327052,112327,129825.70156100001
6998416,bam,2017-10-19 20:49:02.010758,slurm_multi,,main_w3_handler2,3267637,17149362,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11207193,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31766098}]","""EBI SRA: SRS595009 File: ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/003/SRR1257433/SRR1257433.fastq.gz""","""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""""",2,1.0,,2150570000,1x,,40890176.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-10-21 08:52:17.176392,112327,129795.165634
139853938,bam,2017-11-01 12:41:23.526434,slurm_multi,,main_w3_handler2,3303847,17284977,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11346495,slurm,,corral-repl,,0,no,,,,"[{'src': 'hda', 'id': 31973587}]",,"""25""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""bigwig""","""chr5:107716657:107726036""",1,,,,no,,41459965.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-11-03 00:41:39.602074,114191,129616.07564000001
1792847325,bam,2017-12-05 04:11:49.985515,slurm_multi,,main_w4_handler2,3270952,17698400,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11763014,slurm,,corral-repl,,0,no,,0.0,no,"[{'src': 'hda', 'id': 32682555}]",,"""50""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/papHam.len""","""papHam""","""bigwig""","""""",0,,,,rpkm,,40965215.0,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0,2.5.0.0,,2017-12-06 16:12:32.971216,97544,129642.98570100001
