create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.idc,parameters.input1,parameters.out_format1,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-12 08:37:39.544475,slurm_normal,,main_w1_handler2,2562065,11469278,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5818,motif,5736306.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/falciparum.len""","""falciparum""","""6""",22855127,"""swiss""",,27344486,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2016-01-13 20:38:34.601122,,129655.056647
2016-01-12 09:26:19.075143,slurm_normal,,main_w2_handler0,2562065,11469785,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5818,motif,5761390.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/falciparum.len""","""falciparum""","""5""",22855127,"""swiss""",,27344486,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2016-01-15 08:39:13.291384,,256374.21624100002
2016-01-19 16:17:36.574761,slurm_normal,,main_w2_handler0,2562065,11551121,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",268407,regions,5814751.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""",22924628,"""feattable""",,27344486,error,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2016-01-21 04:18:13.245665,,129636.67090400001
