alignment,alignment_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alignment.values,parameters.alignment|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.extended_parameters.contribute_to_multiple_features,parameters.extended_parameters.count_split_alignments_only,parameters.extended_parameters.gff_feature_attribute,parameters.extended_parameters.gff_feature_type,parameters.extended_parameters.ignore_dup,parameters.extended_parameters.largest_overlap,parameters.extended_parameters.mapping_quality,parameters.extended_parameters.min_overlap,parameters.extended_parameters.multimapping_enabled.__current_case__,parameters.extended_parameters.multimapping_enabled.multimapping_counts,parameters.extended_parameters.primary,parameters.extended_parameters.read_extension_3p,parameters.extended_parameters.read_extension_5p,parameters.extended_parameters.read_reduction,parameters.extended_parameters.strand_specificity,parameters.extended_parameters.summarization_level,parameters.format,parameters.gtf_source.__current_case__,parameters.gtf_source.ref_source,parameters.gtf_source.reference_gene_sets.values,parameters.include_feature_length_file,parameters.pe_parameters.exclude_chimerics,parameters.pe_parameters.fragment_counting_enabled.__current_case__,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.__current_case__,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.check_distance,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.maximum_fragment_length,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.minimum_fragment_length,parameters.pe_parameters.fragment_counting_enabled.fragment_counting,parameters.pe_parameters.only_both_ends,parameters.pe_parameters.orientation,reference_gene_sets,reference_gene_sets_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2501064064,bam,2017-03-03 05:07:12.623746,slurm_normal,,main_w4_handler1,3017523,15196322,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9347151.roundup,slurm,,corral-repl,,"""3fa20b88ffcf11e69d9e005056a51846""","[{'src': 'hda', 'id': 28598669}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",false,false,gene_id,exon,false,false,12,1,1,,false,0,0,,0,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 28591957}]","""false""",true,0,1,false,,, -p,true,fr,1255571849,gtf,,,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-03-04 18:49:38.191241,52190,135745.567495
2501062677,bam,2017-03-08 17:35:17.321814,slurm_normal,,main_w4_handler1,3020797,15244868,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9392240.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 28641840}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",false,false,gene_id,exon,false,false,12,1,1,,false,0,0,,0,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 28660003}]","""false""",true,0,0,true,600,50, -p,true,fr,1255571849,gtf,,36393936.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-03-10 08:59:04.807696,52190,141827.485882
2501064064,bam,2017-03-03 17:41:01.171449,slurm_normal,,main_w3_handler0,3017523,15202204,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9352456.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 28598669}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",false,false,gene_id,exon,false,false,12,1,1,,false,0,0,,0,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 28607829}]","""false""",true,0,1,false,,, -p,true,fr,1255571849,gtf,,36393936.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-03-05 05:41:09.761592,52190,129608.59014300001
2501062677,bam,2017-03-07 18:20:54.392225,slurm_normal,,main_w3_handler0,3020797,15233836,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9382052.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 28641840}]",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",false,false,gene_id,exon,false,false,12,1,1,,false,0,0,,0,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 28660003}]","""false""",true,0,1,false,,, -p,true,fr,1255571849,gtf,,36393936.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-03-09 06:21:24.562708,52190,129630.17048300001
1688380590,bam,2017-03-15 19:07:27.510977,slurm_normal,,main_w4_handler0,3032997,15305978,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9448692.roundup,slurm,,corral-repl,,"""9e9302a409b211e78d26005056a52a46""","[{'src': 'hda', 'id': 28772719}]",,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",false,false,gene_id,exon,false,false,12,1,1,,false,0,0,,0,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 28591957}]","""false""",true,0,1,false,,, -p,true,fr,1255571849,gtf,,,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-03-17 08:15:38.790682,52190,133691.27970500002
2624997671,bam,2017-04-11 16:21:41.235562,slurm_normal,,main_w3_handler1,3028373,15556940,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9680442.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 28730618}]",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",false,false,gene_id,exon,false,false,12,1,1,,true,0,0,,0,false,"""tabdel_full""",1,history,"[{'src': 'hda', 'id': 28730596}]","""false""",true,0,1,false,,, -p,true,fr,770699280,gff3,,37273625.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-04-13 04:23:49.023935,29461,129727.788373
2711656042,bam,2017-04-11 16:21:40.547984,slurm_normal,,main_w3_handler1,3028373,15556939,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9680418.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 28730613}]",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",false,false,gene_id,exon,false,false,12,1,1,,true,0,0,,0,false,"""tabdel_full""",1,history,"[{'src': 'hda', 'id': 28730596}]","""false""",true,0,1,false,,, -p,true,fr,770699280,gff3,,37273625.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-04-13 04:22:50.394924,29461,129669.84694
457489168,bam,2017-06-19 03:36:47.205617,slurm_normal,,main_w3_handler0,3161686,16128517,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10209007.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 30072405}]","""G1E_R2ds_SRR549356""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",false,false,transcript_id,exon,false,false,12,1,1,,false,0,0,,2,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 30073857}]","""false""",true,0,1,false,,, -p,false,rf,41130696,gtf,,37498194.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-06-20 15:37:28.180408,104536,129640.97479100002
457489168,bam,2017-06-20 03:47:46.851350,slurm_normal,,main_w4_handler0,3161686,16139018,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10218772.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 30072405}]",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",false,false,transcript_id,exon,false,false,12,1,1,,false,0,0,,2,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 30073857}]","""false""",true,0,1,false,,, -p,false,rf,41130696,gtf,,38795085.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-06-21 15:48:33.796220,104536,129646.94487
457488887,bam,2017-07-21 18:41:49.243140,slurm_normal,,main_w3_handler1,3193361,16390589,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10454643.roundup,slurm,,corral-repl,,,"[{'src': 'hda', 'id': 30509691}]","""G1E_R2_ds_SRR549356""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",false,false,transcript_id,exon,false,false,12,1,1,,false,0,0,,2,false,"""tabdel_short""",1,history,"[{'src': 'hda', 'id': 30550979}]","""false""",true,0,1,false,,, -p,false,rf,41130696,gtf,,38168895.0,error,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.4.6.p5,1.4.6.p5,,2017-07-23 06:42:24.996694,106491,129635.75355400001
