bias_correction|ref_file,bias_correction|ref_file_filetype,create_time,destination_id,exit_code,gtf_input,gtf_input_filetype,handler,history_id,id,imported,in_type|conditions_0|samples,in_type|conditions_0|samples1,in_type|conditions_0|samples10,in_type|conditions_0|samples10_filetype,in_type|conditions_0|samples1_filetype,in_type|conditions_0|samples2,in_type|conditions_0|samples2_filetype,in_type|conditions_0|samples3,in_type|conditions_0|samples3_filetype,in_type|conditions_0|samples4,in_type|conditions_0|samples4_filetype,in_type|conditions_0|samples5,in_type|conditions_0|samples5_filetype,in_type|conditions_0|samples6,in_type|conditions_0|samples6_filetype,in_type|conditions_0|samples7,in_type|conditions_0|samples7_filetype,in_type|conditions_0|samples8,in_type|conditions_0|samples8_filetype,in_type|conditions_0|samples9,in_type|conditions_0|samples9_filetype,in_type|conditions_0|samples_filetype,in_type|conditions_1|samples,in_type|conditions_1|samples1,in_type|conditions_1|samples10,in_type|conditions_1|samples10_filetype,in_type|conditions_1|samples11,in_type|conditions_1|samples11_filetype,in_type|conditions_1|samples12,in_type|conditions_1|samples12_filetype,in_type|conditions_1|samples13,in_type|conditions_1|samples13_filetype,in_type|conditions_1|samples14,in_type|conditions_1|samples14_filetype,in_type|conditions_1|samples15,in_type|conditions_1|samples15_filetype,in_type|conditions_1|samples16,in_type|conditions_1|samples16_filetype,in_type|conditions_1|samples17,in_type|conditions_1|samples17_filetype,in_type|conditions_1|samples18,in_type|conditions_1|samples18_filetype,in_type|conditions_1|samples19,in_type|conditions_1|samples19_filetype,in_type|conditions_1|samples1_filetype,in_type|conditions_1|samples2,in_type|conditions_1|samples20,in_type|conditions_1|samples20_filetype,in_type|conditions_1|samples2_filetype,in_type|conditions_1|samples3,in_type|conditions_1|samples3_filetype,in_type|conditions_1|samples4,in_type|conditions_1|samples4_filetype,in_type|conditions_1|samples5,in_type|conditions_1|samples5_filetype,in_type|conditions_1|samples6,in_type|conditions_1|samples6_filetype,in_type|conditions_1|samples7,in_type|conditions_1|samples7_filetype,in_type|conditions_1|samples8,in_type|conditions_1|samples8_filetype,in_type|conditions_1|samples9,in_type|conditions_1|samples9_filetype,in_type|conditions_1|samples_filetype,in_type|conditions_2|samples,in_type|conditions_2|samples1,in_type|conditions_2|samples1_filetype,in_type|conditions_2|samples2,in_type|conditions_2|samples2_filetype,in_type|conditions_2|samples3,in_type|conditions_2|samples3_filetype,in_type|conditions_2|samples_filetype,in_type|conditions_3|samples,in_type|conditions_3|samples1,in_type|conditions_3|samples1_filetype,in_type|conditions_3|samples2,in_type|conditions_3|samples2_filetype,in_type|conditions_3|samples3,in_type|conditions_3|samples3_filetype,in_type|conditions_3|samples4,in_type|conditions_3|samples4_filetype,in_type|conditions_3|samples_filetype,in_type|conditions_4|samples,in_type|conditions_4|samples1,in_type|conditions_4|samples1_filetype,in_type|conditions_4|samples2,in_type|conditions_4|samples2_filetype,in_type|conditions_4|samples_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.additional.__current_case__,parameters.additional.sAdditional,parameters.advanced_settings.__current_case__,parameters.advanced_settings.sAdvanced,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.dbkey,parameters.dispersion_method,parameters.fdr,parameters.generate_sqlite,parameters.gtf_input.values,parameters.in_type.__current_case__,parameters.in_type.conditions,parameters.in_type.set_in_type,parameters.include_count_files,parameters.include_read_group_files,parameters.length_correction,parameters.library_norm_method,parameters.min_alignment_count,parameters.multiread_correct,parameters.omit_tabular_output,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-05 10:49:33.008169,slurm_multi,,5545660,gtf,main_w3_handler2,3434644,18608209,False,247998275,247998275,361139336.0,bam,bam,242908958,bam,186754238,bam,240886233.0,bam,81281790.0,bam,218199114.0,bam,211929572.0,bam,159160630.0,bam,280410193.0,bam,bam,192301848,192301848,222358731.0,bam,238180592.0,bam,250477646.0,bam,88504753.0,bam,387382095.0,bam,271010413.0,bam,311581375.0,bam,309424990.0,bam,199316465.0,bam,174606565.0,bam,bam,150554277,256009996.0,bam,bam,187322627,bam,243227646.0,bam,117009111.0,bam,177547680.0,bam,226287633.0,bam,211216134.0,bam,136257895.0,bam,bam,121734153,121734153,bam,,,,,bam,178290900,178290900,bam,223117778,bam,176626417,bam,238510763.0,bam,bam,27719177.0,27719177.0,bam,111945996.0,bam,bam,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12703633,slurm,,corral-repl,,0,no,0,No,0,No,0,Yes,0,hg38,cached,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""blind""","""0.05""","""false""","[{'src': 'hda', 'id': 34212376}]",0,"[{'__index__': 0, 'name': 'group2', 'samples': {'values': [{'src': 'hda', 'id': 34118632}, {'src': 'hda', 'id': 34118633}, {'src': 'hda', 'id': 34118637}, {'src': 'hda', 'id': 34118641}, {'src': 'hda', 'id': 34118643}, {'src': 'hda', 'id': 34118644}, {'src': 'hda', 'id': 34118646}, {'src': 'hda', 'id': 34118655}, {'src': 'hda', 'id': 34118656}, {'src': 'hda', 'id': 34118662}]}}, {'__index__': 1, 'name': 'group4', 'samples': {'values': [{'src': 'hda', 'id': 34118181}, {'src': 'hda', 'id': 34118631}, {'src': 'hda', 'id': 34118634}, {'src': 'hda', 'id': 34118635}, {'src': 'hda', 'id': 34118636}, {'src': 'hda', 'id': 34118638}, {'src': 'hda', 'id': 34118639}, {'src': 'hda', 'id': 34118645}, {'src': 'hda', 'id': 34118648}, {'src': 'hda', 'id': 34118649}, {'src': 'hda', 'id': 34118650}, {'src': 'hda', 'id': 34118651}, {'src': 'hda', 'id': 34118657}, {'src': 'hda', 'id': 34118659}, {'src': 'hda', 'id': 34118660}, {'src': 'hda', 'id': 34118661}, {'src': 'hda', 'id': 34118664}, {'src': 'hda', 'id': 34118665}, {'src': 'hda', 'id': 34118666}, {'src': 'hda', 'id': 34118667}]}}, {'__index__': 2, 'name': 'group 1', 'samples': {'values': [{'src': 'hda', 'id': 34118654}]}}, {'__index__': 3, 'name': 'group 3', 'samples': {'values': [{'src': 'hda', 'id': 34118640}, {'src': 'hda', 'id': 34118642}, {'src': 'hda', 'id': 34118647}, {'src': 'hda', 'id': 34118653}]}}, {'__index__': 4, 'name': 'group 5', 'samples': {'values': [{'src': 'hda', 'id': 34118652}, {'src': 'hda', 'id': 34118658}]}}]",BAM,"""Yes""","""No""","""""","""quartile""","""10""","""false""","""false""",,44001394,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.5,2.2.1.5,,2018-03-06 22:50:11.590786,122228,129638.58261700001
2770963387.0,fasta,2018-02-28 21:04:29.963012,slurm_multi,,240903627,gtf,main_w4_handler2,3216662,18554333,False,1360813284,1360813284,,,bam,1520483270,bam,1207476997,bam,,,,,,,,,,,,,bam,679961079,679961079,,,,,,,,,,,,,,,,,,,,,bam,743442820,,,bam,670981065,bam,,,,,,,,,,,,,bam,1076608696,1076608696,bam,1197112589.0,bam,672768072.0,bam,bam,705000355,705000355,bam,809741002,bam,684461223,bam,,,bam,,,,,,,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12650644,slurm,,corral-repl,,0,no,0,No,0,No,0,Yes,1,,history,"[{'src': 'hda', 'id': 30802338}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""pooled""","""0.05""","""true""","[{'src': 'hda', 'id': 34085471}]",0,"[{'__index__': 0, 'name': '6M', 'samples': {'values': [{'src': 'hda', 'id': 33768242}, {'src': 'hda', 'id': 33768243}, {'src': 'hda', 'id': 33768244}]}}, {'__index__': 1, 'name': '6W', 'samples': {'values': [{'src': 'hda', 'id': 34065220}, {'src': 'hda', 'id': 34065221}, {'src': 'hda', 'id': 34065222}]}}, {'__index__': 2, 'name': '6H', 'samples': {'values': [{'src': 'hda', 'id': 34065227}, {'src': 'hda', 'id': 34065228}, {'src': 'hda', 'id': 34085942}]}}, {'__index__': 3, 'name': '6D', 'samples': {'values': [{'src': 'hda', 'id': 34065223}, {'src': 'hda', 'id': 34065224}, {'src': 'hda', 'id': 34065225}]}}]",BAM,"""No""","""No""","""""","""geometric""","""10""","""true""","""false""",,43768842,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.5,2.2.1.5,,2018-03-02 09:24:27.631175,103019,130797.66816300001
