create_time,destination_id,exit_code,first_input,first_input_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.annotation.__current_case__,parameters.annotation.ignore_nonoverlapping_reference,parameters.annotation.reference_annotation,parameters.annotation.use_ref_annotation,parameters.chromInfo,parameters.dbkey,parameters.first_input,parameters.input_files,parameters.seq_data.__current_case__,parameters.seq_data.seq_source.__current_case__,parameters.seq_data.seq_source.index_source,parameters.seq_data.seq_source.ref_file,parameters.seq_data.use_seq_data,ref_file,ref_file_filetype,reference_annotation,reference_annotation_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-19 05:04:37.304774,rodeo_normal,,40158378,gtf,main_w2_handler0,2233730,8984742,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3234594.roundup,slurm,,corral-repl,,0,False,18900603.0,Yes,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18900603,[],1,1,history,18879746,Yes,7980438257,fasta,40158378.0,gtf,,21745218,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2015-03-20 17:05:06.269182,60764,129628.96440800001
2014-05-24 15:54:23.812057,slurm_single,,108998,gtf,main_w1_handler1,1916555,7024912,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1041430,slurm,,corral-repl,,1,,,No,"""/galaxy-repl/localdata/chrom/?.len""","""?""",15608003,[],1,1,history,15607984,Yes,5214482759,fasta,,,,14931607,error,toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/0.0.5,0.0.5,,2014-05-26 16:05:07.647486,47045,173443.835429
