count,count_filetype,create_time,destination_id,exit_code,fasta_in,fasta_in_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.chromInfo,parameters.count.values,parameters.dbkey,parameters.fasta_in.values,parameters.ignorechimeras,parameters.qual.__current_case__,parameters.qual.use,parameters.threshold,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-07 18:37:05.820550,slurm_normal,,89813291,fasta,main_w3_handler1,3384297,17967371,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",12043899,slurm,,corral-repl,,1,history,"[{'src': 'hda', 'id': 33206685}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""","[{'src': 'hda', 'id': 33206685}]","""true""",1,no,"""""",,43028230,error,89813291,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_seq_error/mothur_seq_error/1.36.1.0,1.36.1.0,,2018-01-09 06:37:33.169863,,129627.34931300001
653433.0,mothur.count_table,2017-11-16 15:52:57.724064,slurm_normal,,7323757,fasta,main_w3_handler1,3318340,17483485,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11541695,slurm,,corral-repl,,1,history,"[{'src': 'hda', 'id': 32347833}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32356873}]","""?""","[{'src': 'hda', 'id': 32356874}]","""true""",1,no,"""""",,41242785,error,228451320,fasta,toolshed.g2.bx.psu.edu/repos/iuc/mothur_seq_error/mothur_seq_error/1.36.1.0,1.36.1.0,,2017-11-18 03:53:51.534476,113500.0,129653.810412
