create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_treatment_file,input_treatment_file1,input_treatment_file1_filetype,input_treatment_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.advanced_options.__current_case__,parameters.advanced_options.advanced_options_selector,parameters.bampe,parameters.band_width,parameters.chromInfo,parameters.cutoff_options.__current_case__,parameters.cutoff_options.cutoff_options_selector,parameters.cutoff_options.qvalue,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.input_treatment_file.values,parameters.nomodel_type.__current_case__,parameters.nomodel_type.nomodel_type_selector,parameters.outputs,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-25 03:15:21.962115,slurm_normal,,main_w4_handler1,3039025,15392865,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1468429607,1468429607,bed,bed,9528665.roundup,slurm,,corral-repl,,1,off,"""false""","""300""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""",1,qvalue,0.01,"""Arabidopsis_thaliana_TAIR10""",4,user_defined,135000000,"[{'src': 'hda', 'id': 28868317}]",0,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,36859987,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-26 15:15:33.735937,63480,129611.773822
2017-03-27 15:42:49.410947,slurm_normal,,main_w3_handler0,3039025,15407654,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1468429607,1468429607,bed,bed,9540515.roundup,slurm,,corral-repl,,1,off,"""false""","""300""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""",1,qvalue,0.01,"""Arabidopsis_thaliana_TAIR10""",4,user_defined,135000000,"[{'src': 'hda', 'id': 28868317}]",0,create_model,"[""peaks_tabular"", ""summits"", ""bdg""]",,36817228,error,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_callpeak/2.1.0.20151222.0,2.1.0.20151222.0,,2017-03-29 03:44:56.933659,63480,129727.522712
