create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.options_type.__current_case__,parameters.options_type.options_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.target_limit_type.__current_case__,parameters.target_limit_type.target_limit_type_selector,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-08-20 12:32:50.619832,slurm_single,,main_w1_handler1,1827194,7464549,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10066710.0,bam,1466376,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,simple,0,"[{'__index__': 0, 'input_bam': 16385800}]",Homo_sapiens_nuHg19_mtrCRS,cached,0,do_not_limit,,,,16353726,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-08-22 12:43:11.458903,45443,173420.83907100002
2014-12-11 09:00:46.124276,rodeo_normal,,main_w1_handler0,2142672,8395174,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",11497634622.0,bam,2291858.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17893863}]",hg19,cached,0,do_not_limit,,,,20007438,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-12 21:02:05.360022,57159,129679.235746
2014-12-14 08:37:19.039382,rodeo_normal,,main_w1_handler1,2132910,8412350,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15502219408.0,bam,2311832.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17900804}]",hg19,cached,0,do_not_limit,,,,20041280,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-15 20:37:40.519032,56643,129621.47965000001
2014-12-14 09:07:20.910131,rodeo_normal,,main_w2_handler0,2142620,8412390,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13408572809.0,bam,2311885.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17895478}]",hg19,cached,0,do_not_limit,,,,20052293,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-15 21:07:37.306319,57156,129616.39618800001
2014-12-14 09:05:56.716914,rodeo_normal,,main_w1_handler0,2142615,8412389,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,555981.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20052067,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-15 21:06:37.296303,57155,129640.579389
2014-12-17 02:22:05.314850,rodeo_normal,,main_w2_handler1,2132910,8428671,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15502219408.0,bam,579174.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17900804}]",hg19,cached,0,do_not_limit,,,,20093512,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-18 14:22:43.601167,56643,129638.286317
2014-12-17 02:25:07.371632,rodeo_normal,,main_w2_handler0,2142620,8428683,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13408572809.0,bam,579195.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17895478}]",hg19,cached,0,do_not_limit,,,,20093532,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-18 14:25:43.298461,57156,129635.926829
2014-12-17 02:23:44.221112,rodeo_normal,,main_w2_handler1,2142615,8428677,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,2329636.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20093526,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-18 14:24:19.712572,57155,129635.49146
2014-12-18 15:45:14.841721,rodeo_normal,,main_w2_handler1,2142615,8440133,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,595490.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20099347,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-20 03:45:44.353579,57155,129629.51185800001
2014-12-18 17:49:09.962984,rodeo_normal,,main_w2_handler0,2142615,8440941,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,596833.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20099347,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-20 05:49:44.855275,57155,129634.89229100001
2014-12-19 16:08:07.255052,rodeo_normal,,main_w2_handler1,2142620,8445752,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13408572809.0,bam,604439.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17895478}]",hg19,cached,0,do_not_limit,,,,20138712,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-21 04:08:45.731272,57156,129638.47622000001
2014-12-19 16:06:25.798146,rodeo_normal,,main_w2_handler0,2132910,8445749,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15502219408.0,bam,604431.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17900804}]",hg19,cached,0,do_not_limit,,,,20138688,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-21 04:06:45.587369,56643,129619.78922300001
2014-12-20 03:18:53.676874,rodeo_normal,,main_w1_handler1,2142620,8448126,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13408572809.0,bam,608293.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17895478}]",hg19,cached,0,do_not_limit,,,,20138712,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-21 15:19:16.027041,57156,129622.35016700001
2014-12-20 05:20:42.965214,rodeo_normal,,main_w2_handler0,2142620,8448244,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",13408572809.0,bam,608519.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17895478}]",hg19,cached,0,do_not_limit,,,,20138712,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-21 17:21:15.256854,57156,129632.29164000001
2014-12-20 06:31:30.704833,rodeo_normal,,main_w1_handler1,2142615,8448295,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,608617.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20150782,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-21 18:32:17.095154,57155,129646.39032100001
2014-12-21 05:28:00.561694,rodeo_normal,,main_w2_handler1,2142615,8451625,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",17708974403.0,bam,613811.rodeo,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,simple,0,"[{'__index__': 0, 'input_bam': 17903205}]",hg19,cached,0,do_not_limit,,,,20150782,error,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14,freebayes-0.9.14,,2014-12-22 17:28:17.871244,57155,129617.30955
