create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.aligner,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.phone,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-15 15:59:50.755755,slurm_multi,,main_w4_handler2,3429161,18398575,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5073666652,tabular,12486663,slurm,,corral-repl,,0,no,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33857273}]","""true""",,42195329,error,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-19 18:24:18.916276,84316,354268.16052100004
2018-02-21 14:10:08.581303,slurm_multi,,main_w3_handler2,3436738,18462188,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",45680915368,tabular,12556885,slurm,,corral-repl,,0,no,"""kalign""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33972645}]","""false""",,44036374,error,toolshed.g2.bx.psu.edu/repos/nick/dunovo/align_families/2.0.12,2.0.12,,2018-02-25 14:10:30.216228,73233,345621.634925
