create_time,destination_id,exit_code,fasta,fasta_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.alignment.__current_case__,parameters.alignment.source,parameters.alignment.template.values,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.increment,parameters.ksize,parameters.svg.__current_case__,parameters.svg.gen,runner_name,session_id,state,template,template_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-22 13:19:52.608377,slurm_normal,,63165034,fasta,main_w3_handler0,2993356,15106525,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9261511.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 28459581}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28454788}]","""10""","""7""",,,,36219736,error,38548161,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_check/1.21.0,1.21.0,,2017-02-24 01:20:23.598723,99394,129630.990346
2017-05-16 17:32:33.398270,slurm_normal,,631917629,fastqsanger,main_w3_handler0,3106125,15856726,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9957047.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29554112}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29571860}]","""5""","""7""",0.0,no,,37980121,error,3273489229,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_check/1.21.0,1.21.0,,2017-05-18 05:32:57.212287,99883,129623.81401700001
2017-05-15 15:33:26.743869,slurm_normal,,74801720,fasta,main_w4_handler0,3106125,15839583,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",9940524.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29554112}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29585040}]","""5""","""7""",0.0,no,,37980121,error,3273489229,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_check/1.21.0,1.21.0,,2017-05-17 03:33:47.236193,99883,129620.492324
2017-05-24 17:44:59.363902,slurm_normal,,74801720,fasta,main_w4_handler0,3106125,15930150,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10027981.roundup,slurm,,corral-repl,,1,hist,"[{'src': 'hda', 'id': 29554112}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29585040}]","""10""","""7""",0.0,no,,37980121,error,3273489229,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_check/1.21.0,1.21.0,,2017-05-26 05:45:28.319977,99883,129628.95607500001
